,open,high,low,close,volume,hist,macd_long,macd_short,ret_5d,ret_3d,ret_2d,ret_1d,ret_10d,mom,ind1,final_sig,ticker
2020-04-24,39.44,40.12,37.86,38.24,5684851.0,0.7303436143624564,-3.038207278904724,-2.3078636645422677,,,,,,0.5440276960353843,1.0,1.0,LYV
2020-04-24,8.0592,8.35,7.63,8.18,16901272.0,0.4384597197442379,-0.8290715592836242,-0.3906118395393863,,,,,,0.8527192612141234,1.0,1.0,NBL
2020-04-24,9.52,10.0,9.4,9.79,16772353.0,0.15644226589872579,-0.49570861321639936,-0.3392663473176736,,,,,,0.5239888025086299,1.0,1.0,RF
2020-04-24,51.18,52.04,50.4,51.76,689344.0,0.4620128693542141,-0.02161299499424546,0.44039987435996863,,,,,,0.5132618898660884,1.0,1.0,NEWR
2020-04-24,102.51,103.39,100.4,102.75,285897.0,0.44402896645021095,0.3677371449316603,0.8117661113818713,,,,,,0.5758576089205536,1.0,1.0,LSTR
2020-04-24,4.71,4.78,4.44,4.75,1288521.0,0.1445093067455423,-0.7915882931909926,-0.6470789864454503,,,,,,0.5502056246759555,1.0,1.0,RPAI
2020-04-24,58.5,59.09,57.21,58.8,747760.0,0.609406211201596,-0.6964598790676545,-0.0870536678660585,,,,,,0.6746155777261166,1.0,1.0,DLB
2020-04-24,414.65,417.245,405.205,412.26,40069.0,2.750179648437721,0.8942149911094942,3.6443946395472153,,,,,,1.0610662442360794,1.0,1.0,NEU
2020-04-24,5.4207,5.54,5.29,5.505,31028380.0,0.08963385474191937,-0.14698385463210456,-0.05734999989018519,,,,,,0.9893688319937086,1.0,1.0,SIRI
2020-04-24,56.76,57.56,55.72,57.27,1099231.0,0.7698139032844448,0.21697643202110484,0.9867903353055496,,,,,,0.550529657145052,1.0,1.0,EMN
2020-04-24,25.58,26.68,25.38,26.27,3851302.0,0.15732158992426273,0.0038005862408950486,0.16112217616515778,,,,,,0.392520839972166,1.0,1.0,CTVA
2020-04-24,12.64,13.075,12.495,12.91,5441589.0,0.07524914095078378,-0.4510901271055702,-0.37584098615478645,,,,,,0.252122478836701,1.0,1.0,NWL
2020-04-24,33.78,34.72,33.06,34.55,900702.0,0.6560983007569574,-0.7819903614460755,-0.12589206068911807,,,,,,0.8578715269199308,1.0,1.0,ST
2020-04-24,5.98,6.36,5.92,6.27,12160789.0,0.1911193354598042,-0.41362994616702387,-0.22251061070721967,,,,,,0.8121873312196691,1.0,1.0,COTY
2020-04-24,121.0,121.0131,118.736,120.75,251905.0,0.23659780402066355,2.5573891184840085,2.793986922504672,,,,,,0.25919627153175673,1.0,1.0,COR
2020-04-24,10.25,10.73,10.17,10.66,2196828.0,0.1178448546060462,0.07764514929211687,0.19549000389816307,,,,,,0.4316745736497001,1.0,1.0,COMM
2020-04-24,12.42,12.72,12.295,12.47,5340413.0,0.06827235490073635,-0.8510529171163906,-0.7827805622156543,,,,,,0.2444173787398785,1.0,1.0,NLSN
2020-04-24,41.31,43.2,41.2,43.06,2317539.0,0.413002042944947,-0.8529411672498324,-0.43993912430488535,,,,,,0.8206199772515766,1.0,1.0,NTAP
2020-04-24,5.0,5.15,4.75,4.93,52715797.0,0.27189770077091346,-0.43772007839864113,-0.16582237762772767,,,,,,1.1330307958604011,1.0,1.0,MRO
2020-04-24,25.74,26.0,25.28,25.53,2115990.0,0.5350850326951968,-1.6298720076383444,-1.0947869749431476,,,,,,0.5720422243702465,1.0,1.0,FLS
2020-04-24,33.26,34.83,32.98,34.61,820025.0,0.5728062970979692,0.07693527463676385,0.649741571734733,,,,,,1.3141581681352565,1.0,1.0,HLF
2020-04-24,40.36,41.63,40.23,41.33,430866.0,0.9070021123630032,-1.7128032216548026,-0.8058011092917994,,,,,,0.8099310111666997,1.0,1.0,GRA
2020-04-24,14.09,14.495,13.85,14.39,1661393.0,0.16131748054582168,0.10909476300551063,0.2704122435513323,,,,,,0.427886054917031,1.0,1.0,OLN
2020-04-24,9.28,9.58,9.24,9.53,9252239.0,0.044611488216820816,-0.3902826332218753,-0.34567114500505447,,,,,,0.22196101896182222,1.0,1.0,HPE
2020-04-24,19.95,20.065,19.4681,19.645,991691.0,0.2232784047374281,-0.3316927178982354,-0.1084143131608073,,,,,,0.9400814521209815,1.0,1.0,PPC
2020-04-24,88.25,90.75,87.52,88.2,901123.0,0.9703011473348586,0.29266818359253177,1.2629693309273904,,,,,,0.5864712113917607,1.0,1.0,FMC
2020-04-24,61.0,61.615,59.5304,60.53,3262395.0,1.0068322939234169,-1.381388396732007,-0.3745561028085902,,,,,,0.6464549200760976,1.0,1.0,PSX
2020-04-24,4.57,4.6299,4.31,4.53,1136736.0,0.11340179882061796,-0.6936340436383535,-0.5802322448177355,,,,,,0.5731431475656313,1.0,1.0,REZI
2020-04-24,8.07,8.14,7.77,8.01,4186578.0,0.17865892664422633,-0.7574970341641075,-0.5788381075198812,,,,,,0.6225698710628984,1.0,1.0,FHN
2020-04-24,11.0,11.31,10.95,11.26,2056660.0,0.19665975391348434,-0.3644403930280399,-0.16778063911455554,,,,,,0.9103661510779344,1.0,1.0,FEYE
2020-04-24,28.11,28.11,27.43,27.92,862339.0,0.38507774757227375,-1.4504858449787776,-1.0654080974065039,,,,,,0.7290814398102134,1.0,1.0,R
2020-04-24,65.73,66.43,64.72,66.01,105909.0,0.46422692687095735,-1.261391323410003,-0.7971643965390456,,,,,,0.39728873028252026,1.0,1.0,RBC
