,Company,ESP,Estimate_eps,Estimate_sales,Reported_eps,Reported_sales,cap,symbol,timing,before,after,close,spy_before,spy_after,cons,beta,r2,dev,macd_before,macd_after,close_ret,spy_ret,target,alpha,earn_surp,sales_ratio,sales_surp,pre,pre_target,pre_target_low
2020-07-28,Pfizer Inc.,+0.14,0.64,11876.0,0.78,11801.0,209195.0,PFE,bmo,37.54,0.02530633990410247,,322.96,320.95,0.0003676581965714209,0.7072407847376341,0.5040057282856433,-0.5939987965921973,0.3853109424292376,0.3986270174712352,,-0.006223680951201405,-0.004033982803312925,0.029340322707415396,0.14,0.05641148210999307,-0.006315257662512619,0.013316167742011104,38.039888937035094,37.1013889370351
2020-07-28,"Altria Group, I...",+0.03,1.06,5074.37,1.09,5062.0,77773.0,MO,bmo,42.13,0.01732732019938288,,322.96,320.95,0.0008864791632762953,0.7380440820517542,0.455637025939288,-0.4758392843109819,0.19494527431507214,0.15312854900711848,,-0.006223680951201405,-0.0037068717313361336,0.021034191930719013,0.030000000000000027,0.06508685533539918,-0.0024377410397743438,0.021866264875933277,43.05122573922308,41.99797573922307
2020-07-28,Mcdonalds Corpo...,-0.10,0.76,3697.61,0.66,3761.5,147759.0,MCD,bmo,201.25,-0.009888198757764033,,322.96,320.95,0.0006340519516082982,0.9876926836979756,0.6571472427734777,1.1191670152253983,1.2620581453515958,1.4100214014539378,,-0.006223680951201405,-0.005513032189563787,-0.004375166568200246,-0.09999999999999998,0.025456994159408226,0.017278728692317502,-0.012946086489007294,198.64460009408728,193.61335009408728
2020-07-28,Zebra Technolog...,+0.13,2.28,940.52,2.41,956.0,14334.0,ZBRA,bmo,273.34,0.04148679300504887,,322.96,320.95,-0.0003193692628363988,1.1721532469612042,0.6210488080860324,0.16905088745574035,1.1476780708203984,0.6414025386935753,,-0.006223680951201405,-0.00761447709783772,0.04910127010288659,0.13000000000000034,0.0666945723454723,0.016458980138646773,0.04723067512011588,286.25003273733245,279.4165327373325
2020-07-28,Corning Incorpo...,+0.14,0.11,2379.35,0.25,2588.0,22288.0,GLW,bmo,30.63,-0.0042442050277505805,,322.96,320.95,0.0008480047203566459,1.338658692940138,0.7653584236913188,1.8593692247395253,0.19368866812070729,0.19842846921732105,,-0.006223680951201405,-0.0074833798870550606,0.00323917485930448,0.14,0.11611629576453697,0.08769201672725746,-0.0017790670196235195,30.575507177188932,29.80975717718893
2020-07-28,Cummins Inc.,+1.10,0.85,3568.79,1.95,3852.0,27770.0,CMI,bmo,190.96,0.02639296187683282,,322.96,320.95,-0.00012168954916821196,0.9706445948508436,0.5830013295665569,0.13611698850522794,1.3014223668481142,1.0782227199623715,,-0.006223680951201405,-0.0061626718245280125,0.03255563370136083,1.1,0.13871083903492978,0.07935742926874378,0.008060810443445593,192.49929236228039,187.72529236228038
2020-07-28,Centene Corpora...,-0.01,2.41,27381.98,2.4,27712.0,39097.0,CNC,bmo,67.27,-0.014716812843763916,,322.96,320.95,-0.00030966234229797966,1.1413658841922745,0.5224774934051417,-0.21896455854576585,0.20318711299438708,0.30381092850471936,,-0.006223680951201405,-0.007413159454096587,-0.007303653389667329,-0.010000000000000231,0.7088011867918255,0.01205245201406191,-0.012301920331822848,66.44244981927827,64.76069981927827
2020-07-28,3m Company,+0.01,1.77,7268.52,1.78,7176.0,91939.0,MMM,bmo,163.24,-0.042514089683901024,,322.96,320.95,0.000745594515608897,0.8834790344952055,0.6064845828136702,0.7383774601687161,0.16244444368083122,0.5027118669239343,,-0.006223680951201405,-0.004752897122164722,-0.0377611925617363,0.010000000000000009,0.0780517517049348,-0.012728863647620159,-0.04112895676539552,156.52610909761685,152.44510909761684
2020-07-28,Lamb Weston Hol...,-0.13,0.12,845.33,-0.01,846.9,9900.0,LW,bmo,70.5,0.0,,322.96,320.95,0.0006123311767449491,1.1492504121636575,0.4905428925837612,1.4276980120308145,0.5548010954282536,0.5084972576030987,,-0.006223680951201405,-0.006540236721598369,0.006540236721598369,-0.13,0.08554545454545455,0.0018572628440962635,-0.002167565231321648,70.34718665119182,68.58468665119182
2020-07-28,Roper Technolog...,+0.27,2.67,1256.6,2.94,1305.0,43353.0,ROP,bmo,420.7,0.0,,322.96,320.95,-0.00014359486725476085,0.9976888836418296,0.6997850677252984,-0.17771934331089634,1.581105707666958,1.7703634368084762,,-0.006223680951201405,-0.00635289216760181,0.00635289216760181,0.27,0.03010172306414781,0.03851663218207868,0.007778400856350392,423.9723732402666,413.4548732402666
2020-07-28,Sp Global Inc.,+0.64,2.76,1806.48,3.4,1943.0,84322.0,SPGI,bmo,351.32,-0.0008823864283274974,,322.96,320.95,-0.0010054014888445527,1.1606164837053932,0.6892512775062234,-0.03821403534828633,-1.1975206784237873,-1.0260169491524582,,-0.006223680951201405,-0.008228708190132163,0.007346321761804666,0.6400000000000001,0.023042622328692395,0.07557238386253928,0.01241552568391822,355.6818224832742,346.89882248327416
2020-07-28,Laboratory Corp...,+1.79,0.78,2422.99,2.57,2768.8,19318.0,LH,bmo,201.3,0.013164431197217885,,322.96,320.95,-3.4769595109744394e-05,1.2509168725730624,0.6398019869392726,0.14927132116821293,1.7586722456637665,1.8878838141876504,,-0.006223680951201405,-0.007820077106479148,0.020984508303697032,1.7899999999999998,0.14332746661145046,0.14272035790490278,0.010403476607808021,203.39421984115177,198.36171984115177
2020-07-28,Polaris Inc.,+0.70,0.6,1351.85,1.3,1511.8,5846.0,PII,bmo,97.97,0.059916300908441356,,322.96,320.95,0.00092225775206689,1.5994549184698283,0.6224101267961308,2.2968473756068484,0.18706703886697928,-0.23688649640475745,,-0.006223680951201405,-0.009032239356319176,0.06894854026476054,0.7000000000000001,0.2586041737940472,0.11831934016347967,0.05667228333248576,103.52218359808363,101.07293359808364
2020-07-28,Martin Marietta...,+0.45,3.04,1147.8,3.49,1189.5,13920.0,MLM,bmo,228.0,-0.05039473684210527,,322.96,320.95,0.0009724926775207457,1.1312557700044217,0.5232330411000718,1.1460995559108518,-0.17595199442698028,0.5796011274297905,,-0.006223680951201405,-0.006068082309192451,-0.04432665453291282,0.4500000000000002,0.08545258620689655,0.03633037114479887,-0.045794655645711425,217.5588185127778,211.8588185127778
2020-07-28,Omnicom Group I...,+0.09,0.83,2903.3,0.92,2800.7,12120.0,OMC,bmo,57.01,-0.07261883880021047,,322.96,320.95,0.0018707863821303167,1.0381137393508395,0.6255419394225947,0.7224872624308879,0.03222949296499174,0.2794619721402776,,-0.006223680951201405,-0.004590102322647963,-0.06802873647756251,0.09000000000000008,0.23108085808580855,-0.035339096889746235,-0.08444383924635067,52.195856724565544,50.770606724565546
2020-07-28,Westinghouse Ai...,+0.10,0.77,1808.77,0.87,1737.4,11773.0,WAB,bmo,62.01,0.021770682148040565,,322.96,320.95,0.0015526441350046025,1.2049726223428836,0.5422671858447874,-0.2458086150355372,0.4281109025116333,0.3687460768440043,,-0.006223680951201405,-0.005946721021390006,0.027717403169430572,0.09999999999999998,0.14757495965344433,-0.039457753058708356,0.010177091115532416,62.64108142007416,61.09083142007416
2020-07-28,Waters Corporat...,+0.57,1.53,519.41,2.1,519.98,13809.0,WAT,bmo,227.45,-0.008353484282259793,,322.96,320.95,0.0001700259720161596,0.9029511278670024,0.5835150876285164,-0.5201332120035911,2.0468973623042803,2.6468687691771384,,-0.006223680951201405,-0.005449653762355527,-0.002903830519904266,0.5700000000000001,0.03765515243681657,0.0010973989719105237,-0.0016196981009485455,227.08159966693924,221.39534966693924
2020-07-28,Nissan Motor Co...,+0.78,-1.8,9378.25,-1.02,10917.66,16514.0,NSANY,bmo,8.11,0.0,,322.96,320.95,0.0025263646092675385,0.7988028147065751,0.3725065856263601,-0.9157508340000491,0.05428572762798062,0.05196281442794808,,-0.006223680951201405,-0.0024451292523878384,0.0024451292523878384,0.78,0.6611154172217513,0.1641468290992456,0.0036198483898477853,8.139356970441664,7.936606970441664
2020-07-28,Transunion,+0.17,0.49,597.45,0.66,634.4,16959.0,TRU,bmo,89.39,-0.0019017787224522298,,322.96,320.95,0.00012733830529871508,1.1191949667221182,0.6851006068356409,1.1316207661460005,0.3852944196852257,0.4597088779147632,,-0.006223680951201405,-0.0068381740897702215,0.004936395367317992,0.17000000000000004,0.037407866029836666,0.061846179596618756,0.0016726298906329876,89.53951638592368,87.30476638592367
2020-07-28,"Canon, Inc.",-0.10,0.02,6957.41,-0.08,6234.4,20926.0,CAJ,bmo,19.81,-0.04946996466431097,,322.96,320.95,0.001560837663773991,0.6388983374336425,0.4771915543123811,-0.0252018941586856,-0.03476582082640761,0.02801505195110857,,-0.006223680951201405,-0.002415461748666017,-0.047054502915644954,-0.1,0.2979260250406193,-0.1039194182892772,-0.05952395679250019,18.63083041594057,18.13558041594057
2020-07-28,Otis Worldwide...,+0.13,0.43,2966.94,0.56,3029.0,25175.0,OTIS,bmo,58.32,0.030864197530864113,,322.96,320.95,-0.00020597035248111554,0.6801595721221719,0.18806134433747226,-0.2843364760846109,0.07249066766224366,-0.016282660317648356,,-0.006223680951201405,-0.004439066525275174,0.03530326405613929,0.13000000000000006,0.12031777557100298,0.02091717392330139,0.028339047173698704,59.9727332311701,58.51473323117011
