,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret,before,after,close_,ret
2020-06-08,PHR,"Phreesia, Inc.",1137.0,amc,-0.23,-0.16,0.07,-0.30434782608695654,-5.38%,,,,
2020-06-08,CVGW,"Calavo Growers,...",1034.0,amc,0.4,0.4,0.0,0.0,-5.33%,,,,
2020-06-08,BBAR,Bbva Banco Fran...,860.0,amc,0.48,0.25,-0.22999999999999998,-0.47916666666666663,-6.84%,,,,
2020-06-08,UBA,Urstadt Biddle...,540.0,amc,0.34,0.27,-0.07,-0.20588235294117652,-14.54%,,,,
2020-06-08,HURC,Hurco Companies...,201.0,bmo,,0.58,,,-7.28%,,,,
2020-06-08,REVG,"Rev Group, Inc....",432.0,bmo,-0.13,-0.09,0.04000000000000001,-0.3076923076923077,0.25%,,,,
2020-06-08,ODC,Oildri Corporat...,268.0,amc,,0.61,,,-1.98%,,,,
2020-06-08,MSB,Mesabi Trust,242.0,amc,,0.12,,,-0.05%,,,,
2020-06-08,RTIX,"Rti Surgical, I...",239.0,bmo,,-0.16,,,1.30%,,,,
2020-06-08,SB,"Safe Bulkers, I...",134.0,amc,-0.12,-0.13,-0.010000000000000009,0.08333333333333348,-4.29%,,,,
2020-06-08,ENZ,"Enzo Biochem, I...",121.0,amc,,-0.17,,,-4.74%,,,,
2020-06-08,STCN,"Steel Connect,...",42.0,amc,,-0.11,,,-17.05%,,,,
2020-06-08,PNBK,Patriot Nationa...,23.0,amc,,-0.27,,,-2.64%,,,,
2020-06-08,BKYI,Biokey Internat...,20.0,amc,,-0.23,,,-2.63%,,,,
2020-06-08,HJLI,Hancock Jaffe,11.0,amc,,-0.06,,,4.65%,,,,
2020-06-05,TRCH,Torchlight Ener...,38.0,amc,,-0.05,,,--,,,,
2020-06-05,TPCO,Tribune Publish...,395.0,bmo,-0.07,-0.99,-0.9199999999999999,13.14285714285714,2.53%,,,,
2020-06-05,AHC,A.h. Belo Corpo...,38.0,amc,,-0.08,,,--,,,,
2020-06-04,SJM,The J. M. Smuck...,12400.0,bmo,2.28,2.57,0.29000000000000004,0.1271929824561404,-4.79%,114.59,109.51,109.1,-0.04433196614015178
2020-06-04,CZZ,Cosan Limited,3624.0,amc,,0.64,,,1.61%,,,,
2020-06-04,AVGO,Broadcom Inc.,125950.0,amc,5.13,5.14,0.009999999999999787,0.0019493177387914784,2.65%,308.89,319.7,317.08,0.034996276991809294
2020-06-04,RH,Rh,4717.0,amc,0.8,1.27,0.47,0.5874999999999999,-0.89%,,,,
2020-06-04,CIEN,Ciena Corporati...,8432.0,bmo,0.51,0.76,0.25,0.4901960784313726,-4.21%,56.31,55.74,53.94,-0.010122535961640922
2020-06-04,MDB,"Mongodb, Inc.",11984.0,amc,-0.25,-0.13,0.12,-0.48,-10.03%,220.04,201.14,197.98,-0.08589347391383384
2020-06-04,DOCU,Docusign Inc.,27168.0,amc,0.11,0.12,0.009999999999999995,0.09090909090909083,-0.30%,140.06,139.82,139.64,-0.0017135513351421716
2020-06-04,GIII,Giii Apparel Gr...,781.0,bmo,-0.66,-0.75,-0.08999999999999997,0.13636363636363624,16.60%,,,,
2020-06-04,SCWX,Secureworks Cor...,1009.0,bmo,-0.05,0.03,0.08,-1.6,-6.33%,,,,
2020-06-04,NM,Navios Maritime...,30.0,bmo,,-1.95,,,-4.24%,,,,
2020-06-04,MTN,"Vail Resorts, I...",7613.0,amc,2.67,3.74,1.0700000000000003,0.4007490636704121,-4.94%,206.97,211.81,196.75,0.02338503164709871
2020-06-04,GPS,"The Gap, Inc.",4119.0,amc,-0.65,-2.51,-1.8599999999999999,2.861538461538461,1.40%,12.14,12.79,12.31,0.05354200988467861
2020-06-04,DOMO,"Domo, Inc.",872.0,amc,-1.0,-0.65,0.35,-0.35,10.77%,,,,
2020-06-04,MIK,The Michaels Co...,897.0,bmo,0.1,-0.43,-0.53,-5.3,8.95%,,,,
2020-06-04,SAIC,Science Applica...,5238.0,amc,1.41,1.38,-0.030000000000000027,-0.021276595744680882,-2.24%,,,,
2020-06-04,YEXT,Yext Inc.,1904.0,amc,-0.13,-0.1,0.03,-0.23076923076923073,-2.16%,,,,
2020-06-04,WPRT,Westport Fuel S...,187.0,amc,-0.05,-0.11,-0.06,1.1999999999999997,-6.43%,,,,
2020-06-04,DLNG,Dynagas Lng Par...,88.0,amc,0.09,0.12,0.03,0.33333333333333326,11.89%,,,,
2020-06-04,NAV,Navistar Intern...,2767.0,bmo,-0.72,-0.1,0.62,-0.8611111111111112,12.44%,,,,
2020-06-04,DLTH,Duluth Holdings...,246.0,bmo,-0.43,-0.42,0.010000000000000009,-0.023255813953488413,20.70%,,,,
2020-06-04,ZUMZ,Zumiez Inc.,690.0,amc,-0.47,-0.79,-0.32000000000000006,0.6808510638297873,0.89%,,,,
2020-06-04,COO,The Cooper Comp...,15927.0,amc,2.13,1.51,-0.6199999999999999,-0.29107981220657275,1.49%,313.86,313.65,318.54,-0.0006690881284650008
2020-06-04,WORK,Slack Technolog...,18080.0,amc,-0.07,-0.02,0.05,-0.7142857142857143,-14.18%,,,,
2020-06-03,ZUO,"Zuora, Inc.",1472.0,amc,-0.1,-0.06,0.04000000000000001,-0.4,0.71%,,,,
2020-06-03,SMAR,Smartsheet Inc....,5377.0,amc,-0.2,-0.11,0.09000000000000001,-0.45000000000000007,-22.99%,59.08,49.53,45.5,-0.1616452268111035
2020-06-03,EXPR,"Express, Inc.",142.0,bmo,-0.37,-1.55,-1.1800000000000002,3.1891891891891895,-7.88%,,,,
2020-06-03,CPB,Campbell Soup C...,14788.0,bmo,0.76,0.83,0.06999999999999995,0.09210526315789469,-6.13%,52.01,51.96,48.82,-0.000961353585848812
2020-06-03,TLYS,"Tillys, Inc.",187.0,amc,-0.35,-0.59,-0.24,0.6857142857142857,-2.38%,,,,
2020-06-03,AEO,American Eagle...,1986.0,bmo,-0.24,-0.84,-0.6,2.5,14.67%,,,,
2020-06-03,FOSL,"Fossil Group, I...",256.0,amc,,-1.5,,,14.44%,,,,
2020-06-03,GOOS,Canada Goose Ho...,2687.0,bmo,-0.09,-0.09,0.0,0.0,17.74%,,,,
2020-06-03,CLDR,"Cloudera, Inc.",3480.0,amc,0.01,0.05,0.04,4.0,-12.90%,,,,
2020-06-03,PXS,Pyxis Tankers I...,18.0,bmo,-0.05,-0.06,-0.009999999999999995,0.19999999999999996,-5.53%,,,,
2020-06-03,GWRE,Guidewire Softw...,8935.0,amc,-0.06,0.09,0.15,-2.5,-4.20%,110.17,113.99,105.54,0.0346736861214485
2020-06-03,CMTL,Comtech Telecom...,438.0,amc,-0.11,-0.16,-0.05,0.4545454545454546,-18.23%,,,,
2020-06-03,LUKOY,Lukoil,52488.0,bmo,,-1.03,,,3.76%,,,,
2020-06-03,GEF,"Greif, Inc.",1782.0,amc,0.81,0.95,0.1399999999999999,0.17283950617283939,5.79%,,,,
2020-06-03,ESTC,Elastic N.v.,6700.0,amc,-0.31,-0.12,0.19,-0.6129032258064516,-3.83%,89.27,83.14,85.85,-0.06866808558306259
2020-06-03,VLGEA,Village Super M...,377.0,bmo,,0.77,,,4.95%,,,,
2020-06-03,YJ,Yunji Inc. Spon...,641.0,bmo,0.05,0.0,-0.05,-1.0,-2.17%,,,,
2020-06-03,CHNG,Change Healthca...,1493.0,amc,0.37,0.42,0.04999999999999999,0.1351351351351351,-7.26%,12.81,11.95,11.88,-0.0671350507416082
2020-06-03,REPL,Replimune Group...,781.0,bmo,-0.44,-0.41,0.030000000000000027,-0.06818181818181823,1.15%,,,,
2020-06-03,CNK,Cinemark Holdin...,2007.0,bmo,-0.14,-0.51,-0.37,2.642857142857143,2.45%,15.95,16.08,16.34,0.008150470219435713
2020-06-03,KC,Kingsoft Cloud...,4239.0,bmo,,-0.62,,,-3.67%,,,,
2020-06-03,BAK,Braskem S.a.,4337.0,bmo,-6.06,-2.07,3.9899999999999998,-0.6584158415841584,-2.28%,,,,
2020-06-03,DLAKY,Deutsche Luftha...,6025.0,bmo,,-1.57,,,6.38%,,,,
2020-06-02,DKS,Dicks Sporting...,3305.0,bmo,-0.5,-1.21,-0.71,1.42,3.68%,36.46,37.54,37.8,0.029621503017004835
2020-06-02,ZM,Zoom Video Comm...,61665.0,amc,0.1,0.2,0.1,1.0,7.59%,,,,
2020-06-02,HQY,"Healthequity, I...",4412.0,amc,0.44,0.43,-0.010000000000000009,-0.022727272727272707,-7.24%,,,,
2020-06-02,BZUN,Baozun Inc.,2104.0,bmo,,0.06,,,10.70%,,,,
2020-06-02,AMBA,"Ambarella, Inc....",1878.0,amc,-0.01,0.04,0.05,-5.0,-13.90%,,,,
2020-06-02,AMSC,American Superc...,176.0,amc,-0.25,-0.24,0.010000000000000009,-0.040000000000000036,-8.60%,,,,
2020-06-02,APPS,Digital Turbine...,830.0,amc,0.05,0.05,0.0,0.0,31.92%,,,,
2020-06-02,EVRI,Everi Holdings...,604.0,amc,-0.1,-0.09,0.010000000000000009,-0.10000000000000009,1.79%,,,,
2020-06-02,CBRL,Cracker Barrel...,2831.0,bmo,-4.72,-6.81,-2.09,0.44279661016949157,-0.61%,,,,
2020-06-02,CRWD,Crowdstrike Hol...,19983.0,amc,-0.06,0.02,0.08,-1.3333333333333335,6.34%,,,,
2020-06-02,MDLA,"Medallia, Inc.",3784.0,amc,-0.02,0.02,0.04,-2.0,-12.13%,29.6,29.49,26.01,-0.003716216216216317
2020-06-02,LE,"Lands End, Inc....",274.0,bmo,,-0.53,,,-11.08%,,,,
2020-06-02,BBW,Buildabear Work...,42.0,bmo,-0.76,-0.83,-0.06999999999999995,0.09210526315789469,-4.93%,,,,
2020-06-02,GSUM,Gridsum Holding...,31.0,amc,,-0.48,,,13.03%,,,,
2020-06-02,ACY,Aerocentury Cor...,4.0,amc,,-3.18,,,-1.72%,,,,
2020-06-02,DCI,Donaldson Compa...,6252.0,bmo,0.38,0.5,0.12,0.3157894736842106,2.25%,47.96,49.0,49.04,0.021684737281067568
2020-06-01,CGIX,Cancer Genetics...,7.0,bmo,,-0.14,,,-0.32%,,,,
2020-06-01,HHR,Headhunter Grou...,1095.0,bmo,,0.15,,,13.93%,,,,
2020-06-01,KEN,Kenon Holdings...,1190.0,bmo,,0.28,,,6.15%,,,,
2020-06-01,ERJ,Embraerempresa...,1401.0,bmo,-0.67,-0.57,0.10000000000000009,-0.14925373134328368,0.36%,,,,
2020-06-01,CSWC,Capital Southwe...,273.0,amc,0.39,0.4,0.010000000000000009,0.025641025641025772,-2.23%,,,,
2020-06-01,ENS,Enersys,2890.0,amc,1.22,1.11,-0.10999999999999988,-0.09016393442622939,-1.70%,,,,
2020-06-01,NGL,Ngl Energy Part...,841.0,amc,0.11,0.02,-0.09,-0.8181818181818181,1.92%,,,,
2020-06-01,NXGN,Nextgen Healthc...,764.0,amc,0.19,0.2,0.010000000000000009,0.05263157894736836,1.85%,,,,
2020-06-01,ATHM,Autohome Inc.,10333.0,bmo,0.76,0.76,0.0,0.0,0.27%,,,,
2020-06-01,MLAB,Mesa Laboratori...,977.0,bmo,2.03,1.29,-0.7399999999999998,-0.3645320197044334,-2.20%,,,,
2020-06-01,PLX,Protalix Biothe...,123.0,bmo,-0.3,0.1,0.4,-1.3333333333333335,2.99%,,,,
2020-06-01,PUMP,Propetro Holdin...,642.0,amc,0.17,0.21,0.03999999999999998,0.23529411764705865,-3.41%,,,,
2020-06-01,THR,Thermon Group H...,522.0,bmo,0.03,0.01,-0.019999999999999997,-0.6666666666666666,-10.92%,,,,
2020-06-01,PRCP,"Perceptron, Inc...",37.0,amc,-0.05,-0.11,-0.06,1.1999999999999997,-0.32%,,,,
2020-06-01,SALM,Salem Media Gro...,28.0,amc,,-1.58,,,-11.93%,,,,
2020-06-01,GNWSF,Genenews Ltd.,16.0,bmo,,0.0,,,-5.94%,,,,
2020-06-01,CANF,Canfite Biophar...,16.0,bmo,-0.59,-0.72,-0.13,0.22033898305084754,-3.72%,,,,
2020-06-01,OLNCF,Omnilite Indust...,7.0,bmo,,-0.01,,,0.00%,,,,
2020-06-01,SLSDF,Select Sands Co...,1.0,amc,,-0.02,,,-15.45%,,,,
2020-05-29,BIG,"Big Lots, Inc.",1442.0,bmo,0.41,1.26,0.8500000000000001,2.073170731707317,5.64%,,,,
2020-05-29,OCPNY,Olympus Corp.,24337.0,bmo,0.01,-0.05,-0.060000000000000005,-6.0,-2.64%,,,,
2020-05-29,CIR,Circor Internat...,453.0,bmo,0.47,0.2,-0.26999999999999996,-0.5744680851063829,0.82%,,,,
2020-05-29,CGC,Canopy Growth C...,6206.0,bmo,-0.3,-1.16,-0.8599999999999999,2.8666666666666667,-20.03%,,,,
2020-05-29,EH,Ehang Holdings...,658.0,bmo,,-0.04,,,0.08%,,,,
2020-05-29,YAMHF,Yamaha Motor Co...,5727.0,bmo,0.48,0.25,-0.22999999999999998,-0.47916666666666663,-7.09%,,,,
2020-05-29,MOGU,Mogu Inc. Spons...,148.0,bmo,,-0.1,,,-12.33%,,,,
2020-05-29,SOL,Renesola Ltd.,48.0,bmo,-0.03,-0.04,-0.010000000000000002,0.3333333333333335,0.99%,,,,
2020-05-29,QES,Quintana Energy...,48.0,bmo,-0.18,-0.62,-0.44,2.4444444444444446,-4.12%,,,,
2020-05-29,AKTX,Akari Therapeut...,39.0,bmo,0.0,-0.13,-0.13,-inf,2.00%,,,,
2020-05-29,IPCIF,Intellipharmace...,4.0,amc,,-0.08,,,--,,,,
2020-05-28,ANF,Abercrombie  Fi...,753.0,bmo,-1.31,-3.29,-1.98,1.5114503816793894,-11.11%,,,,
2020-05-28,ULTA,Ulta Beauty Inc...,13425.0,amc,0.44,-1.12,-1.56,-3.545454545454546,0.29%,243.31,240.61,244.01,-0.011096954502486489
2020-05-28,MRVL,Marvell Technol...,23325.0,amc,0.14,0.18,0.03999999999999998,0.2857142857142856,8.84%,29.97,32.57,32.62,0.08675342008675346
2020-05-28,OKTA,"Okta, Inc.",22610.0,amc,-0.18,-0.07,0.10999999999999999,-0.611111111111111,6.34%,183.92,184.32,195.58,0.002174858634188759
2020-05-28,MOMO,Momo Inc.,4211.0,bmo,0.44,0.46,0.020000000000000018,0.045454545454545414,-5.54%,,,,
2020-05-28,COST,Costco Wholesal...,135693.0,amc,1.92,1.89,-0.030000000000000027,-0.015625,-0.35%,309.56,304.2,308.47,-0.017314898565706227
2020-05-28,NIO,Nio Inc.,6464.0,bmo,,-0.22,,,-8.15%,,,,
2020-05-28,CSIQ,Canadian Solar...,1095.0,bmo,1.16,1.4,0.24,0.2068965517241379,-5.91%,,,,
2020-05-28,DLTR,"Dollar Tree, In...",21700.0,bmo,0.85,1.04,0.19000000000000006,0.22352941176470598,11.55%,87.53,96.86,97.64,0.10659202559122583
2020-05-28,VEEV,Veeva Systems I...,33814.0,amc,0.58,0.66,0.08000000000000007,0.13793103448275867,7.18%,204.2,211.11,218.87,0.033839373163565334
2020-05-28,CRM,"Salesforce.com,...",164072.0,amc,0.69,0.7,0.010000000000000009,0.01449275362318847,-3.48%,181.1,174.3,174.79,-0.03754831584759788
2020-05-28,JWN,"Nordstrom, Inc....",3055.0,amc,-1.21,-2.23,-1.02,0.8429752066115703,-10.98%,18.12,16.8365,16.13,-0.0708333333333333
2020-05-28,DG,Dollar General...,47860.0,bmo,1.7,2.56,0.8600000000000001,0.5058823529411764,-1.65%,187.2,186.0,184.11,-0.0064102564102563875
2020-05-28,BURL,Burlington Stor...,13969.0,bmo,-1.59,-4.76,-3.17,1.9937106918238992,1.47%,210.32,209.35,213.42,-0.004612019779383747
2020-05-28,TD,Toronto Dominio...,85652.0,bmo,0.59,0.63,0.040000000000000036,0.06779661016949157,-3.83%,,,,
2020-05-28,ZAGG,Zagg Inc,107.0,amc,,-0.76,,,-3.55%,,,,
2020-05-28,DELL,Dell Technologi...,36523.0,amc,1.01,1.34,0.33000000000000007,0.3267326732673268,8.91%,45.58,49.0,49.64,0.07503290917068894
2020-05-28,PSTG,"Pure Storage, I...",4553.0,amc,-0.16,-0.02,0.14,-0.875,4.95%,16.78,17.0,17.61,0.013110846245530272
2020-05-28,DXC,Dxc Technology...,4299.0,amc,0.97,1.2,0.22999999999999998,0.23711340206185572,-14.24%,16.57,14.95,14.21,-0.0977670488835245
2020-05-28,ZS,"Zscaler, Inc.",13675.0,amc,0.02,0.07,0.05,2.5000000000000004,29.41%,75.8,87.06,98.09,0.14854881266490771
2020-05-28,GERN,Geron Corporati...,368.0,amc,-0.09,-0.08,0.009999999999999995,-0.11111111111111105,0.00%,,,,
2020-05-28,TECD,Tech Data Corpo...,4933.0,bmo,1.65,2.22,0.5700000000000003,0.3454545454545457,2.13%,,,,
2020-05-28,OLLI,Ollies Bargain...,5945.0,amc,0.35,0.49,0.14,0.40000000000000013,4.16%,87.8,91.36,91.45,0.04054669703872449
2020-05-28,TITN,Titan Machinery...,251.0,bmo,-0.11,0.15,0.26,-2.3636363636363633,1.02%,,,,
2020-05-28,VMW,"Vmware, Inc.",60709.0,amc,1.19,1.52,0.33000000000000007,0.277310924369748,9.71%,142.44,154.5,156.27,0.0846672283066554
2020-05-27,TOL,Toll Brothers I...,4310.0,amc,0.48,0.59,0.10999999999999999,0.22916666666666674,-2.30%,33.0,35.06,32.24,0.06242424242424249
2020-05-27,NTAP,"Netapp, Inc.",10223.0,amc,1.04,1.19,0.1499999999999999,0.14423076923076916,-4.64%,46.3,44.78,44.15,-0.03282937365010796
2020-05-27,WDAY,"Workday, Inc.",43017.0,amc,0.47,0.44,-0.02999999999999997,-0.06382978723404253,7.15%,170.38,180.08,182.56,0.05693156473764538
2020-05-27,BMO,Bank Of Montrea...,36191.0,bmo,0.94,0.76,-0.17999999999999994,-0.1914893617021276,1.81%,,,,
2020-05-27,NTNX,Nutanix Inc.,4681.0,amc,-0.85,-0.69,0.16000000000000003,-0.18823529411764706,-8.35%,24.91,23.15,22.83,-0.07065435568044964
2020-05-27,ADSK,"Autodesk, Inc.",51860.0,amc,0.81,0.85,0.039999999999999925,0.04938271604938271,1.41%,199.81,196.38,202.63,-0.017166307992593
2020-05-27,BOX,"Box, Inc.",2900.0,amc,0.05,0.1,0.05,1.0,-0.76%,,,,
2020-05-27,RL,Ralph Lauren Co...,5863.0,bmo,-0.02,-0.68,-0.66,33.0,-0.60%,81.37,82.79,80.88,0.017451149072139627
2020-05-27,VIPS,Vipshop Holding...,12192.0,bmo,0.09,0.2,0.11000000000000001,1.2222222222222223,3.25%,,,,
2020-05-27,RY,Royal Bank Of C...,99265.0,bmo,1.13,0.77,-0.3599999999999999,-0.3185840707964601,5.00%,,,,
2020-05-27,HPQ,Hp Inc.,24152.0,amc,0.44,0.51,0.07,0.15909090909090917,-12.32%,17.12,15.7,15.01,-0.08294392523364491
2020-05-27,KNOP,Knot Offshore P...,524.0,amc,,-0.19,,,-4.98%,,,,
2020-05-27,GEN,Genesis Healthc...,146.0,bmo,,0.29,,,-12.93%,,,,
2020-05-27,COHR,"Coherent, Inc.",3648.0,amc,0.54,0.61,0.06999999999999995,0.12962962962962954,-2.87%,149.16,144.1,144.88,-0.03392330383480824
