,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret,before,after,close_,ret
2020-06-12,BITA,Bitauto Holding...,1045.0,bmo,0.25,-1.27,-1.52,-6.08,9.63%,,,,
2020-06-12,FCEL,Fuelcell Energy...,711.0,bmo,-0.06,-0.07,-0.010000000000000009,0.16666666666666674,2.75%,,,,
2020-06-11,HEXO,Hexo Corp.,412.0,bmo,-0.05,-0.04,0.010000000000000002,-0.20000000000000007,-6.20%,,,,
2020-06-11,LULU,Lululemon Athle...,42076.0,amc,0.26,0.22,-0.04000000000000001,-0.15384615384615385,-5.74%,308.12,302.84,296.36,-0.01713618070881484
2020-06-11,ADBE,Adobe Systems I...,196006.0,amc,2.35,2.45,0.10000000000000009,0.042553191489361764,4.96%,387.67,409.3,406.54,0.05579487708618158
2020-06-11,PLAY,Dave  Busters E...,637.0,amc,-0.79,-1.37,-0.5800000000000001,0.7341772151898736,12.37%,,,,
2020-06-11,PLCE,The Childrens P...,682.0,bmo,-2.35,-1.96,0.3900000000000001,-0.16595744680851066,-3.89%,,,,
2020-06-11,PVH,Pvh Corp.,4234.0,amc,-1.81,-3.03,-1.2199999999999998,0.6740331491712706,-7.59%,52.72,54.0,49.61,0.02427921092564489
2020-06-11,ADXS,"Advaxis, Inc.",51.0,bmo,,-0.1,,,-23.53%,,,,
2020-06-11,JW.A,John Wiley  Son...,2272.0,bmo,0.44,0.66,0.22000000000000003,0.5,-11.45%,,,,
2020-06-11,BYSI,Beyondspring In...,480.0,bmo,-0.45,-0.58,-0.12999999999999995,0.28888888888888875,-4.88%,,,,
2020-06-11,ALOT,"Astronova, Inc....",58.0,bmo,-0.19,0.06,0.25,-1.3157894736842106,-10.49%,,,,
2020-06-11,JFIN,Jiayin Group In...,310.0,bmo,0.09,0.12,0.03,0.33333333333333326,-32.76%,,,,
2020-06-11,RFIL,"Rf Industries,...",60.0,amc,-0.01,-0.01,0.0,0.0,-10.10%,,,,
2020-06-11,TNP,Tsakos Energy N...,277.0,bmo,0.41,0.42,0.010000000000000009,0.024390243902439046,-15.46%,,,,
2020-06-11,ORBT,Orbit Internati...,15.0,bmo,,0.01,,,9.76%,,,,
2020-06-11,TPCS,Techprecision C...,43.0,amc,,0.0,,,-1.00%,,,,
2020-06-11,RHE,Adcare Health S...,2.0,amc,,,,,3.51%,,,,
2020-06-11,SEAC,Seachange Inter...,77.0,amc,-0.16,-0.14,0.01999999999999999,-0.12499999999999989,-3.72%,,,,
2020-06-11,PURE,Pure Bioscience...,139.0,amc,,0.01,,,0.37%,,,,
2020-06-10,SRT,"Startek, Inc.",190.0,amc,0.03,-0.02,-0.05,-1.6666666666666667,-7.10%,,,,
2020-06-10,UNFI,United Natural...,960.0,bmo,1.41,1.4,-0.010000000000000009,-0.007092198581560294,-20.23%,,,,
2020-06-10,GES,"Guess, Inc.",691.0,bmo,-0.99,-1.81,-0.8200000000000001,0.8282828282828283,-19.98%,,,,
2020-06-10,CHS,"Chicos Fas, Inc...",183.0,bmo,-0.16,-0.38,-0.22,1.375,-27.62%,,,,
2020-06-10,NEPT,Neptune Wellnes...,317.0,amc,-0.08,-0.21,-0.13,1.625,-9.33%,,,,
2020-06-10,DUO,Fangdd Network...,1323.0,bmo,,-0.2,,,-66.38%,,,,
2020-06-10,OXM,Oxford Industri...,868.0,amc,-0.06,-1.12,-1.06,17.666666666666668,-15.68%,,,,
2020-06-10,CMCM,Cheetah Mobile...,457.0,bmo,,-0.1,,,-4.78%,,,,
2020-06-10,DAKT,"Daktronics, Inc...",228.0,bmo,,-0.02,,,4.55%,,,,
2020-06-10,AXGT,Axovant Science...,127.0,bmo,-0.59,-0.54,0.04999999999999993,-0.08474576271186429,-1.71%,,,,
2020-06-10,RRGB,Red Robin Gourm...,188.0,bmo,-1.61,-6.66,-5.05,3.136645962732919,-13.86%,,,,
2020-06-10,TOUR,Tuniu Corporati...,140.0,bmo,,-0.19,,,-6.09%,,,,
2020-06-10,GHM,Graham Corporat...,134.0,bmo,0.07,0.06,-0.010000000000000009,-0.14285714285714302,-3.83%,,,,
2020-06-10,CRWS,"Crown Crafts, I...",50.0,bmo,,0.13,,,-5.75%,,,,
2020-06-10,STRM,Streamline Heal...,36.0,amc,,-0.03,,,-8.05%,,,,
2020-06-10,MIND,Mitcham Industr...,23.0,amc,,-0.38,,,-4.19%,,,,
2020-06-10,JASN,Jason Industrie...,2.0,amc,,-0.36,,,-53.64%,,,,
2020-06-10,WBAI,500.com Limited...,147.0,amc,,-0.12,,,3.00%,,,,
2020-06-09,CONN,"Conns, Inc.",259.0,bmo,-0.46,-1.89,-1.43,3.108695652173913,-21.12%,,,,
2020-06-09,ITI,"Iteris, Inc.",198.0,amc,-0.02,0.01,0.03,-1.5,-2.60%,,,,
2020-06-09,HDS,Hd Supply Holdi...,5924.0,bmo,0.56,0.67,0.10999999999999999,0.1964285714285714,6.62%,35.5,36.56,37.85,0.02985915492957747
2020-06-09,MOV,Movado Group In...,299.0,bmo,-0.2,-0.56,-0.36000000000000004,1.8000000000000003,-0.90%,,,,
2020-06-09,AMC,Amc Entertainme...,656.0,amc,-2.16,-2.22,-0.06000000000000005,0.0277777777777779,5.01%,,,,
2020-06-09,VRNT,Verint Systems...,2840.0,amc,0.66,0.52,-0.14,-0.21212121212121215,-11.72%,,,,
2020-06-09,FIVE,"Five Below, Inc...",6335.0,amc,-0.35,-0.91,-0.56,1.6,9.40%,103.9,116.76,113.67,0.1237728585178055
2020-06-09,SIG,Signet Jewelers...,643.0,bmo,-2.45,-1.59,0.8600000000000001,-0.3510204081632653,-16.06%,,,,
2020-06-09,GME,Gamestop Corp.,328.0,amc,-1.76,-1.61,0.1499999999999999,-0.08522727272727271,2.22%,,,,
2020-06-09,TIF,Tiffany  Co.,14689.0,bmo,-0.35,-0.53,-0.18000000000000005,0.5142857142857145,1.95%,122.18,124.05,124.56,0.01530528728106062
2020-06-09,M,"Macys, Inc.",2459.0,bmo,-2.37,-2.03,0.3400000000000003,-0.14345991561181448,-7.12%,9.55,10.36,8.87,0.08481675392670152
2020-06-09,SENS,Senseonics Hold...,103.0,amc,-0.12,-0.21,-0.09,0.75,-12.36%,,,,
2020-06-09,BF.B,Brownforman Cor...,32700.0,bmo,0.28,0.27,-0.010000000000000009,-0.0357142857142857,1.81%,,,,
2020-06-09,LOVE,The Lovesac Com...,310.0,bmo,-0.69,-0.58,0.10999999999999999,-0.1594202898550725,13.52%,,,,
2020-06-09,GCO,Genesco Inc.,351.0,bmo,-1.78,-3.65,-1.8699999999999999,1.0505617977528088,-2.39%,,,,
2020-06-09,LMNR,Limoneira Co,259.0,amc,0.01,-0.08,-0.09,-9.0,5.61%,,,,
2020-06-09,BF.A,Brown Forman Co...,29319.0,bmo,,0.27,,,1.71%,,,,
2020-06-09,CRESY,Cresud S.a.c.i....,202.0,amc,,-1.67,,,-4.61%,,,,
2020-06-09,IRS,Irsa Inversione...,220.0,amc,,-2.26,,,-4.99%,,,,
2020-06-09,BBCP,Concrete Pumpin...,250.0,amc,-0.05,-0.08,-0.03,0.5999999999999999,17.21%,,,,
2020-06-09,UEC,Uranium Energy...,188.0,bmo,,-0.02,,,0.96%,,,,
2020-06-09,WSG,Wanda Sports Gr...,364.0,bmo,-0.97,-0.03,0.94,-0.9690721649484536,-13.65%,,,,
2020-06-09,QTNT,Quotient Limite...,588.0,bmo,-0.33,-0.31,0.020000000000000018,-0.06060606060606066,19.24%,,,,
2020-06-09,AGX,"Argan, Inc.",679.0,amc,,-0.05,,,6.32%,,,,
2020-06-09,CHWY,Chewy Inc.,19921.0,amc,-0.11,-0.12,-0.009999999999999995,0.09090909090909083,-3.65%,,,,
2020-06-08,SFIX,"Stitch Fix, Inc...",2541.0,amc,-0.18,-0.33,-0.15000000000000002,0.8333333333333335,-5.50%,,,,
2020-06-08,UBP,Urstadt Biddle...,460.0,amc,,0.27,,,-13.14%,,,,
2020-06-08,COUP,"Coupa Software,...",15007.0,amc,0.07,0.2,0.13,1.8571428571428572,1.73%,220.78,213.0,224.59,-0.035238699157532416
2020-06-08,CASY,Caseys General...,5755.0,amc,1.97,1.67,-0.30000000000000004,-0.15228426395939088,-4.83%,169.51,161.52,161.33,-0.04713586219102106
2020-06-08,THO,Thor Industries...,6069.0,bmo,-0.43,0.43,0.86,-2.0,11.14%,100.0,109.55,111.14,0.09549999999999992
2020-06-08,BMA,Macro Bank Inc....,1477.0,amc,2.26,1.72,-0.5399999999999998,-0.23893805309734506,-7.39%,,,,
2020-06-08,PKX,Posco,14309.0,bmo,,1.03,,,0.83%,,,,
2020-06-08,GSM,Ferroglobe Plc,119.0,amc,,-0.22,,,-3.12%,,,,
