,Company,ESP,Estimate_eps,Estimate_sales,Reported_eps,Reported_sales,cap,symbol,timing
2020-07-28,Castlight Healt...,--,-0.04,30.4,,,166.0,CSLT,amc
2020-07-28,Starbucks Corpo...,--,-0.61,4110.98,,,88534.0,SBUX,amc
2020-07-28,Pfizer Inc.,+0.14,0.64,11876.0,0.78,11801.0,209195.0,PFE,bmo
2020-07-28,Visa Inc.,--,1.02,4807.1,,,379273.0,V,amc
2020-07-28,Advanced Micro...,--,0.16,1852.59,,,81281.0,AMD,amc
2020-07-28,Lattice Semicon...,--,0.15,100.33,,,3988.0,LSCC,amc
2020-07-28,Trico Bancshare...,-0.25,0.5,76.5,0.25,76.32,866.0,TCBK,bmo
2020-07-28,Sify Technologi...,--,0.01,88.0,,69.68,44.0,SIFY,bmo
2020-07-28,Qumu Corporatio...,--,0.01,,,,67.0,QUMU,amc
2020-07-28,Provident Finan...,-0.02,0.23,10.65,0.21,9.3,90.0,PROV,bmo
2020-07-28,"Prgx Global, In...",--,-0.03,37.15,,,106.0,PRGX,amc
2020-07-28,Ardmore Shippin...,+0.04,0.37,54.67,0.41,47.06,137.0,ASC,bmo
2020-07-28,Exagen Inc.,+0.50,-0.77,4.82,-0.27,8.95,144.0,XGN,bmo
2020-07-28,Sequans Communi...,-0.09,-0.19,12.0,-0.28,12.23,163.0,SQNS,bmo
2020-07-28,Container Store...,--,,,,,214.0,TCS,amc
2020-07-28,"Home Bancorp, I...",-0.26,0.55,25.46,0.29,25.52,232.0,HBCP,bmo
2020-07-28,Cambridge Banco...,+0.44,0.88,36.9,1.32,37.76,290.0,CATC,bmo
2020-07-28,Hanmi Financial...,--,0.14,49.9,,,291.0,HAFC,amc
2020-07-28,Independent Ban...,+0.45,0.22,46.45,0.67,50.83,293.0,IBCP,bmo
2020-07-28,"Altria Group, I...",+0.03,1.06,5074.37,1.09,5062.0,77773.0,MO,bmo
2020-07-28,Mcdonalds Corpo...,-0.10,0.76,3697.61,0.66,3761.5,147759.0,MCD,bmo
2020-07-28,Alerus Finl Cp,--,0.31,47.48,,,339.0,ALRS,amc
2020-07-28,Amgen Inc.,--,3.81,6196.2,,,145874.0,AMGN,amc
2020-07-28,Arch Coal Inc.,-0.04,-3.22,266.0,-3.26,319.52,463.0,ARCH,bmo
2020-07-28,"Neogenomics, In...",+0.05,-0.09,86.11,-0.04,86.98,3791.0,NEO,bmo
2020-07-28,Trivago N.v. Ad...,--,-0.05,24.74,,,588.0,TRVG,amc
2020-07-28,Zebra Technolog...,+0.13,2.28,940.52,2.41,956.0,14334.0,ZBRA,bmo
2020-07-28,Corning Incorpo...,+0.14,0.11,2379.35,0.25,2588.0,22288.0,GLW,bmo
2020-07-28,"Oneok, Inc.",--,0.53,1640.66,,,12752.0,OKE,amc
2020-07-28,Akamai Technolo...,--,1.22,768.39,,,18133.0,AKAM,amc
2020-07-28,Cummins Inc.,+1.10,0.85,3568.79,1.95,3852.0,27770.0,CMI,bmo
2020-07-28,Enova Internati...,--,0.92,252.79,,,423.0,ENVA,amc
2020-07-28,Ebay Inc.,--,1.05,2795.3,,,38732.0,EBAY,amc
2020-07-28,Huntsman Corpor...,+0.06,-0.2,1088.75,-0.14,1247.0,4261.0,HUN,bmo
2020-07-28,"Dexcom, Inc.",--,0.31,406.09,,,38946.0,DXCM,amc
2020-07-28,Seagate Technol...,--,1.28,2606.77,,,12328.0,STX,amc
2020-07-28,"Fireeye, Inc.",--,-0.02,214.62,,,2898.0,FEYE,amc
2020-07-28,Centene Corpora...,-0.01,2.41,27381.98,2.4,27712.0,39097.0,CNC,bmo
2020-07-28,3m Company,+0.01,1.77,7268.52,1.78,7176.0,91939.0,MMM,bmo
2020-07-28,"Amedisys, Inc.",--,0.79,465.07,,,6953.0,AMED,amc
2020-07-28,Carriage Servic...,--,0.33,72.0,,,338.0,CSV,amc
2020-07-28,U.s. Xpress Ent...,--,-0.15,420.27,,,350.0,USX,amc
2020-07-28,Invesco Ltd.,-0.07,0.42,1488.0,0.35,1419.0,4791.0,IVZ,bmo
2020-07-28,Northwestern Co...,--,0.5,,,,2771.0,NWE,amc
2020-07-28,M.d.c. Holdings...,+0.49,0.82,803.03,1.31,919.72,2540.0,MDC,bmo
2020-07-28,Franklin Electr...,+0.07,0.47,299.37,0.54,308.28,2467.0,FELE,bmo
2020-07-28,Umb Financial C...,--,0.32,282.63,,,2342.0,UMBF,amc
2020-07-28,Ncr Corporation...,--,0.18,1334.72,,,2285.0,NCR,amc
2020-07-28,"Barnes Group, I...",+0.07,0.2,242.73,0.27,235.54,1904.0,B,bmo
2020-07-28,Independent Ban...,--,0.85,141.77,,,1840.0,IBTX,bmo
2020-07-28,Commvault Syste...,+0.32,0.19,152.83,0.51,173.0,1757.0,CVLT,bmo
2020-07-28,Washington Real...,--,0.37,73.26,,,1757.0,WRE,amc
2020-07-28,Flagstar Bancor...,+0.65,1.38,403.04,2.03,546.0,1653.0,FBC,bmo
2020-07-28,American Assets...,--,0.37,,,,1536.0,AAT,amc
2020-07-28,"Shutterstock, I...",+0.37,0.25,149.3,0.62,159.23,1486.0,SSTK,bmo
2020-07-28,Trustmark Corpo...,--,0.25,160.25,,,1468.0,TRMK,amc
2020-07-28,Kadant Inc,--,0.74,148.99,,,1364.0,KAI,amc
2020-07-28,Site Centers Co...,+0.01,0.2,99.82,0.21,98.26,1337.0,SITC,bmo
2020-07-28,Pjt Partners In...,+0.41,0.59,169.7,1.0,232.56,1285.0,PJT,bmo
2020-07-28,First Bancorp.,+0.04,0.06,155.54,0.1,156.1,1265.0,FBP,bmo
2020-07-28,Century Communi...,--,0.73,572.7,,,1178.0,CCS,amc
2020-07-28,Artisan Partner...,--,0.61,194.4,,,2636.0,APAM,amc
2020-07-28,Veritex Holding...,--,0.41,76.1,,,842.0,VBTX,amc
2020-07-28,Amalgamated Ban...,+0.09,0.25,50.15,0.34,53.11,355.0,AMAL,bmo
2020-07-28,First Commonwea...,--,0.1,87.27,,,781.0,FCF,amc
2020-07-28,"Bridge Bancorp,...",--,0.52,42.95,,,362.0,BDGE,amc
2020-07-28,Dime Community...,--,0.27,44.99,,,393.0,DCOM,amc
2020-07-28,"Agilysys, Inc.",--,-0.01,26.2,,,420.0,AGYS,amc
2020-07-28,"Cowen Group, In...",+0.35,5.15,523.9,5.5,369.54,487.0,COWN,bmo
2020-07-28,Dennys Corporat...,--,-0.2,44.81,,,502.0,DENN,amc
2020-07-28,Mrc Global Inc....,--,-0.22,585.16,,,503.0,MRC,amc
2020-07-28,Camden National...,0.00,0.73,43.96,0.73,46.6,503.0,CAC,bmo
2020-07-28,Luther Burbank...,--,0.17,33.65,,,510.0,LBC,amc
2020-07-28,Boston Private...,--,0.07,80.76,,,516.0,BPFH,amc
2020-07-28,"A10 Networks, I...",--,0.08,52.19,,,562.0,ATEN,amc
2020-07-28,Turning Point B...,+0.17,0.54,100.0,0.71,104.96,578.0,TPB,bmo
2020-07-28,Wabash National...,--,-0.19,340.0,,,613.0,WNC,amc
2020-07-28,First Defiance...,--,0.39,72.57,,,619.0,PFC,amc
2020-07-28,Systemax Inc.,--,0.28,211.0,,,727.0,SYX,amc
2020-07-28,Liberty Oilfiel...,--,-0.46,104.97,,,734.0,LBRT,amc
2020-07-28,Imax Corporatio...,--,-0.49,10.06,,,736.0,IMAX,amc
2020-07-28,"Plantronics, In...",--,-0.02,348.99,,,780.0,PLT,amc
2020-07-28,Lamb Weston Hol...,-0.13,0.12,845.33,-0.01,846.9,9900.0,LW,bmo
2020-07-28,Waddell  Reed F...,+0.04,0.34,251.67,0.38,240.03,977.0,WDR,bmo
2020-07-28,Ssc Technologie...,--,0.9,1115.0,,,14286.0,SSNC,amc
2020-07-28,Community Healt...,--,-1.22,2525.93,,,467.0,CYH,amc
2020-07-28,Boston Properti...,--,1.74,701.3,,,14087.0,BXP,amc
2020-07-28,"Proto Labs, Inc...",+0.16,0.43,103.66,0.59,106.58,3456.0,PRLB,bmo
2020-07-28,Monolithic Powe...,--,1.0,169.99,,,10967.0,MPWR,amc
2020-07-28,Roper Technolog...,+0.27,2.67,1256.6,2.94,1305.0,43353.0,ROP,bmo
2020-07-28,Golden Star Res...,--,0.08,,,,390.0,GSS,amc
2020-07-28,Sp Global Inc.,+0.64,2.76,1806.48,3.4,1943.0,84322.0,SPGI,bmo
2020-07-28,Audiocodes Ltd....,+0.05,0.27,53.13,0.32,53.52,1222.0,AUDC,bmo
2020-07-28,Laboratory Corp...,+1.79,0.78,2422.99,2.57,2768.8,19318.0,LH,bmo
2020-07-28,Chubb Limited,--,-0.66,9066.5,,,60893.0,CB,amc
2020-07-28,Polaris Inc.,+0.70,0.6,1351.85,1.3,1511.8,5846.0,PII,bmo
2020-07-28,Bloom Energy Co...,--,-0.32,168.93,,,2117.0,BE,amc
2020-07-28,Maxim Integrate...,--,0.58,545.18,,,17899.0,MXIM,amc
2020-07-28,Oxford Square C...,--,,,0.09,8.26,137.0,OXSQ,bmo
2020-07-28,Martin Marietta...,+0.45,3.04,1147.8,3.49,1189.5,13920.0,MLM,bmo
2020-07-28,Renaissancere H...,--,2.68,,,,7932.0,RNR,amc
2020-07-28,Big 5 Sporting...,--,,,,,96.0,BGFV,amc
2020-07-28,New Oriental Ed...,-0.04,0.34,,0.3,798.47,21871.0,EDU,bmo
2020-07-28,C.h. Robinson W...,--,0.54,3394.38,,,11586.0,CHRW,amc
2020-07-28,Equity Resident...,--,0.83,656.66,,,20221.0,EQR,amc
2020-07-28,Ashland Global...,--,0.85,574.04,,,4688.0,ASH,amc
2020-07-28,Omnicom Group I...,+0.09,0.83,2903.3,0.92,2800.7,12120.0,OMC,bmo
2020-07-28,United Dominion...,--,0.53,315.9,,,10466.0,UDR,amc
2020-07-28,Westinghouse Ai...,+0.10,0.77,1808.77,0.87,1737.4,11773.0,WAB,bmo
2020-07-28,"Perkinelmer, In...",--,0.8,,,,12294.0,PKI,amc
2020-07-28,Waters Corporat...,+0.57,1.53,519.41,2.1,519.98,13809.0,WAT,bmo
2020-07-28,Nissan Motor Co...,+0.78,-1.8,9378.25,-1.02,10917.66,16514.0,NSANY,bmo
2020-07-28,Transunion,+0.17,0.49,597.45,0.66,634.4,16959.0,TRU,bmo
2020-07-28,"Canon, Inc.",-0.10,0.02,6957.41,-0.08,6234.4,20926.0,CAJ,bmo
2020-07-28,Otis Worldwide...,+0.13,0.43,2966.94,0.56,3029.0,25175.0,OTIS,bmo
2020-07-28,"Costar Group, I...",--,2.04,390.05,,,27459.0,CSGP,amc
2020-07-28,Hoya Corp.,-0.47,1.11,1023.15,0.64,1057.4,36991.0,HOCPY,bmo
2020-07-28,Tokyo Electron...,+0.25,0.6,2435.19,0.85,2927.22,42648.0,TOELY,bmo
2020-07-28,Shinetsu Chemic...,--,,3324.07,0.39,3341.13,52749.0,SHECY,bmo
2020-07-28,The Sherwinwill...,+1.41,5.69,4556.24,7.1,4604.0,56298.0,SHW,bmo
2020-07-28,Raytheon Techno...,+0.30,0.1,13982.85,0.4,14061.0,53763.0,RTX,bmo
2020-07-28,Fortive Corpora...,--,0.58,1526.54,,,23924.0,FTV,amc
2020-07-28,Acco Brands Cor...,--,0.01,354.54,,,637.0,ACCO,amc
2020-07-28,"Atricure, Inc.",--,-0.56,35.19,,,1787.0,ATRC,amc
2020-07-28,"Rocky Brands, I...",--,-0.16,42.1,,,133.0,RCKY,amc
2020-07-28,Pegasystems Inc...,--,-0.28,219.5,,,8163.0,PEGA,amc
2020-07-28,Iridium Communi...,+0.05,-0.14,135.68,-0.09,140.17,3517.0,IRDM,bmo
2020-07-28,"Omnicell, Inc.",--,0.43,198.62,,,2825.0,OMCL,amc
2020-07-28,Rexnord Corpora...,--,0.27,416.75,,,3610.0,RXN,amc
2020-07-28,"Houlihan Lokey,...",--,0.49,204.94,,,3673.0,HLI,amc
2020-07-28,Highwoods Prope...,--,0.89,184.98,,,3819.0,HIW,amc
2020-07-28,The Hanover Ins...,--,1.5,1198.5,,,3824.0,THG,amc
