startdatetime,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
2020-01-03,HURC,"Hurco Companies, Inc.",2020-01-03T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-03,LW,"Lamb Weston Holdings, Inc.",2020-01-03T05:00:00.000Z,TNS,0.85,0.95,12.43,0,EQUITY
2020-01-05,SOYIF,Soda Sanayii A.S.,2020-01-05T05:00:00.000Z,TNS,,0.3,,0,EQUITY
2020-01-06,PIR,Pier 1 Imports Inc,2020-01-06T21:15:00.000Z,TAS,-5.19,,,0,EQUITY
2020-01-06,PIRRQ,"Pier 1 Imports, Inc.",2020-01-06T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-06,VYGVF,Voyager Digital (Canada) Ltd.,2020-01-06T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-06,DSKIF,"Daiseki Co.,Ltd.",2020-01-06T05:00:00.000Z,TNS,,47.38,,0,EQUITY
2020-01-06,PFHD,Professional Holding Corp.,2020-01-06T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-06,CMC,Commercial Metals Company,2020-01-06T05:00:00.000Z,TNS,0.54,0.73,34.19,0,EQUITY
2020-01-06,CALM,"Cal-Maine Foods, Inc.",2020-01-06T05:00:00.000Z,TNS,0.03,-0.21,-736.36,0,EQUITY
2020-01-06,QK,Q&K International Group Limited,2020-01-06T05:00:00.000Z,TNS,-3.77,-2.4,36.34,0,EQUITY
2020-01-07,ANGO,"AngioDynamics, Inc.",2020-01-07T05:00:00.000Z,TNS,0.02,0.06,160.87,0,EQUITY
2020-01-07,PCYO,Pure Cycle Corporation,2020-01-07T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-07,NTIC,Northern Technologies International Corporation,2020-01-07T05:00:00.000Z,TNS,0.13,0.13,0.0,0,EQUITY
2020-01-07,CYAGF,"CyberAgent, Inc.",2020-01-07T05:00:00.000Z,TNS,7.24,11.55,59.49,0,EQUITY
2020-01-07,PTGIF,PT Medco Energi Internasional Tbk,2020-01-07T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-07,EXFO,EXFO Inc.,2020-01-07T05:00:00.000Z,TNS,0.04,0.04,2.56,0,EQUITY
2020-01-07,STRM,"Streamline Health Solutions, Inc.",2020-01-07T05:00:00.000Z,TNS,0.01,-0.01,-300.0,0,EQUITY
