startdatetime,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
2020-01-08,WBA,"Walgreens Boots Alliance, Inc.",2020-01-08T05:00:00.000Z,TNS,1.41,1.37,-3.04,0,EQUITY
2020-01-08,AMKYF,"ABC-Mart, Inc.",2020-01-08T05:00:00.000Z,TNS,72.7,68.57,-5.68,0,EQUITY
2020-01-08,LXRP,Lexaria Bioscience Corp.,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-08,STZ-B,"Constellation Brands, Inc.",2020-01-08T05:00:00.000Z,TNS,1.83,2.14,16.75,0,EQUITY
2020-01-08,CHBJF,China CITIC Bank Corporation Limited,2020-01-08T05:00:00.000Z,TNS,0.21,0.2,-4.76,0,EQUITY
2020-01-08,BBBY,Bed Bath & Beyond Inc.,2020-01-08T05:00:00.000Z,TNS,0.02,-0.38,-1827.27,0,EQUITY
2020-01-08,STZ,"Constellation Brands, Inc.",2020-01-08T05:00:00.000Z,TNS,1.83,2.14,16.75,0,EQUITY
2020-01-08,GDDFF,Goodfood Market Corp.,2020-01-08T05:00:00.000Z,TNS,-0.12,-0.09,28.0,0,EQUITY
2020-01-08,CCF,Chase Corporation,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-08,MSM,"MSC Industrial Direct Co., Inc.",2020-01-08T05:00:00.000Z,TNS,1.17,1.21,3.77,0,EQUITY
2020-01-08,LEN-B,Lennar Corporation,2020-01-08T05:00:00.000Z,TNS,1.9,2.13,12.05,0,EQUITY
2020-01-08,LEN,Lennar Corporation,2020-01-08T05:00:00.000Z,TNS,1.9,2.13,12.05,0,EQUITY
2020-01-08,UNF,UniFirst Corporation,2020-01-08T05:00:00.000Z,TNS,2.01,2.52,25.56,0,EQUITY
2020-01-08,SAR,Saratoga Investment Corp.,2020-01-08T05:00:00.000Z,TNS,0.58,1.37,134.99,0,EQUITY
2020-01-08,CORVF,Corvus Gold Inc.,2020-01-08T05:00:00.000Z,TNS,-0.02,-0.03,-50.0,0,EQUITY
2020-01-08,GBX,"The Greenbrier Companies, Inc.",2020-01-08T05:00:00.000Z,TNS,0.43,0.3,-30.72,0,EQUITY
2020-01-08,CHSCP,CHS Inc.,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-08,RELL,"Richardson Electronics, Ltd.",2020-01-08T05:00:00.000Z,TNS,0.02,-0.05,-350.0,0,EQUITY
2020-01-08,JEF,Jefferies Financial Group Inc.,2020-01-08T05:00:00.000Z,TNS,0.47,0.62,33.33,0,EQUITY
2020-01-08,HELE,Helen of Troy Limited,2020-01-08T05:00:00.000Z,TNS,2.5,3.12,24.6,0,EQUITY
2020-01-08,KSHB,"KushCo Holdings, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.09,-0.12,-26.32,0,EQUITY
2020-01-08,RPM,RPM International Inc.,2020-01-08T05:00:00.000Z,TNS,0.73,0.76,4.11,0,EQUITY
2020-01-08,KRUS,"Kura Sushi USA, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.03,-0.15,-354.55,0,EQUITY
2020-01-08,SCHN,"Schnitzer Steel Industries, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.16,-0.17,-4.29,0,EQUITY
2020-01-09,WDFC,WD-40 Company,2020-01-09T05:00:00.000Z,TNS,0.98,0.88,-10.48,0,EQUITY
2020-01-09,AMLLF,"AEON Mall Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,31.23,28.39,-9.08,0,EQUITY
2020-01-09,AEHR,Aehr Test Systems,2020-01-09T05:00:00.000Z,TNS,0.01,0.02,100.0,0,EQUITY
2020-01-09,PKE,Park Aerospace Corp.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-09,ATZAF,Aritzia Inc.,2020-01-09T05:00:00.000Z,TNS,0.3,0.32,5.26,0,EQUITY
2020-01-09,ANIX,"Anixa Biosciences, Inc.",2020-01-09T05:00:00.000Z,TNS,-0.24,-0.1,58.33,0,EQUITY
2020-01-09,AYI,"Acuity Brands, Inc.",2020-01-09T05:00:00.000Z,TNS,2.21,2.13,-3.53,0,EQUITY
2020-01-09,AZZ,AZZ Inc.,2020-01-09T05:00:00.000Z,TNS,0.81,0.84,3.7,0,EQUITY
2020-01-09,PONGF,Atari SA,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-09,YASKF,YASKAWA Electric Corporation,2020-01-09T05:00:00.000Z,TNS,20.61,8.87,-56.94,0,EQUITY
2020-01-09,FRCOF,"Fast Retailing Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,752.74,694.73,-7.71,0,EQUITY
2020-01-09,URPTF,Uranium Participation Corporation,2020-01-09T05:00:00.000Z,TNS,0.58,-0.1,-117.24,0,EQUITY
2020-01-09,VOXX,VOXX International Corporation,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-09,EMMS,Emmis Communications Corporation,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-09,SVNDF,"Seven & i Holdings Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,62.3,67.19,7.84,0,EQUITY
2020-01-09,CWLPF,The Caldwell Partners International Inc.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-09,FYRTF,"FamilyMart Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,19.63,15.51,-20.99,0,EQUITY
2020-01-09,LNN,Lindsay Corporation,2020-01-09T05:00:00.000Z,TNS,0.5,0.77,52.78,0,EQUITY
2020-01-09,CYDY,CytoDyn Inc.,2020-01-09T05:00:00.000Z,TNS,-0.03,-0.04,-33.33,0,EQUITY
2020-01-09,FC,Franklin Covey Co.,2020-01-09T05:00:00.000Z,TNS,-0.02,-0.04,-66.67,0,EQUITY
2020-01-09,SMPL,The Simply Good Foods Company,2020-01-09T05:00:00.000Z,TNS,0.21,0.22,7.32,0,EQUITY
2020-01-09,SNX,SYNNEX Corporation,2020-01-09T05:00:00.000Z,TNS,3.61,4.26,18.07,0,EQUITY
2020-01-09,JNDOF,JINS HOLDINGS Inc.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-09,KBH,KB Home,2020-01-09T05:00:00.000Z,TNS,1.29,1.31,1.87,0,EQUITY
2020-01-09,ORMP,Oramed Pharmaceuticals Inc.,2020-01-09T05:00:00.000Z,TNS,-0.24,-0.15,38.78,0,EQUITY
2020-01-09,PSMT,"PriceSmart, Inc.",2020-01-09T05:00:00.000Z,TNS,0.63,0.64,1.59,0,EQUITY
2020-01-09,SLP,"Simulations Plus, Inc.",2020-01-09T05:00:00.000Z,TNS,0.1,0.11,10.0,0,EQUITY
2020-01-09,LOOP,"Loop Industries, Inc.",2020-01-09T05:00:00.000Z,TNS,-0.09,-0.1,-11.11,0,EQUITY
2020-01-10,IACYF,Inter Action Corporation,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-10,ANDGF,"Aeon Delight Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-10,AONNF,"Aeon Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,-5.94,-12.04,-102.68,0,EQUITY
2020-01-10,TSIHF,"TSI Holdings Co.,Ltd.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-10,CJREF,Corus Entertainment Inc.,2020-01-10T05:00:00.000Z,TNS,0.39,0.38,-1.81,0,EQUITY
2020-01-10,RYKKF,"Ryohin Keikaku Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,30.97,27.52,-11.13,0,EQUITY
2020-01-10,LEDS,SemiLEDs Corporation,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-10,KSHDF,"Koshidaka Holdings Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,10.73,8.61,-19.74,0,EQUITY
2020-01-10,OSGCF,OSG Corporation,2020-01-10T05:00:00.000Z,TNS,,30.7,,0,EQUITY
2020-01-10,HTSUF,"Hisamitsu Pharmaceutical Co., Inc.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-10,INFY,Infosys Limited,2020-01-10T05:00:00.000Z,TNS,0.14,0.15,7.91,0,EQUITY
2020-01-10,NBSE,"NeuBase Therapeutics, Inc.",2020-01-10T05:00:00.000Z,TNS,-0.28,-2.14,-672.56,0,EQUITY
2020-01-10,LWSOF,"Lawson, Inc.",2020-01-10T05:00:00.000Z,TNS,8.1,58.42,621.59,0,EQUITY
2020-01-10,ICHIF,Ichigo Inc.,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-10,TIHRF,Tharisa plc,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-10,NNYAF,,2020-01-10T05:00:00.000Z,TNS,0.68,0.42,-38.6,0,EQUITY
2020-01-12,MBAIF,CIBT Education Group Inc.,2020-01-12T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,AVLNF,Avalon Advanced Materials Inc.,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,SVBL,"Silver Bull Resources, Inc.",2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,CIIHF,CITIC Securities Company Limited,2020-01-13T05:00:00.000Z,TNS,0.29,0.14,-51.72,0,EQUITY
2020-01-13,EDUC,Educational Development Corporation,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,SJR,Shaw Communications Inc.,2020-01-13T05:00:00.000Z,TNS,0.33,0.31,-7.19,0,EQUITY
2020-01-13,LMNR,Limoneira Company,2020-01-13T05:00:00.000Z,TNS,-0.24,-0.24,2.04,0,EQUITY
2020-01-13,DLVHF,Delivery Hero SE,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,SES,"Synthesis Energy Systems, Inc.",2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,SYNE,"Synthesis Energy Systems, Inc.",2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,TRCK,"Track Group, Inc.",2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,GNFTF,Genfit SA,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-13,MKGI,"Monaker Group, Inc.",2020-01-13T05:00:00.000Z,TNS,-0.14,-0.25,-78.57,0,EQUITY
2020-01-13,SGPRF,Singapore Press Holdings Limited,2020-01-13T05:00:00.000Z,TNS,0.03,0.03,-10.71,0,EQUITY
2020-01-13,OPSSF,Opsens Inc.,2020-01-13T05:00:00.000Z,TNS,0.0,-0.02,-300.0,0,EQUITY
2020-01-14,SUEZF,Sudzucker AG,2020-01-14T05:00:00.000Z,TNS,-0.88,-0.35,60.23,0,EQUITY
2020-01-14,ARTL,"Artelo Biosciences, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,SUEZY,Sudzucker AG,2020-01-14T05:00:00.000Z,TNS,-0.88,-0.35,60.23,0,EQUITY
2020-01-14,SNHPF,"Sanei Architecture Planning Co.,Ltd.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,DAL,"Delta Air Lines, Inc.",2020-01-14T05:00:00.000Z,TNS,1.4,1.7,21.17,0,EQUITY
2020-01-14,BGOUF,Bang & Olufsen a/s,2020-01-14T05:00:00.000Z,TNS,,-1.4,,0,EQUITY
2020-01-14,APHA,Aphria Inc.,2020-01-14T05:00:00.000Z,TNS,-0.02,-0.03,-50.0,0,EQUITY
2020-01-14,FRC,First Republic Bank,2020-01-14T05:00:00.000Z,TNS,1.27,1.39,9.45,0,EQUITY
2020-01-14,BMRA,"Biomerica, Inc.",2020-01-14T05:00:00.000Z,TNS,-0.08,-0.05,37.5,0,EQUITY
2020-01-14,FRC-PI,First Republic Bank,2020-01-14T05:00:00.000Z,TNS,1.27,1.39,9.45,0,EQUITY
2020-01-14,CGECF,Cogeco Inc.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,C,Citigroup Inc.,2020-01-14T05:00:00.000Z,TNS,1.84,2.15,16.97,0,EQUITY
2020-01-14,BBCP,"Concrete Pumping Holdings, Inc.",2020-01-14T05:00:00.000Z,TNS,0.04,0.0,-100.0,0,EQUITY
2020-01-14,JPM,JPMorgan Chase & Co.,2020-01-14T05:00:00.000Z,TNS,2.35,2.57,9.32,0,EQUITY
2020-01-14,WFC-PZ,Wells Fargo & Company,2020-01-14T05:00:00.000Z,TNS,1.12,0.6,-46.57,0,EQUITY
2020-01-14,KNOFF,CellStop Systems Inc.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,TKCOF,"Toho Co., Ltd.",2020-01-14T05:00:00.000Z,TNS,,36.67,,0,EQUITY
2020-01-14,SOTK,Sono-Tek Corporation,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,JCTCF,Jewett-Cameron Trading Company Ltd.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,HGSH,China HGS Real Estate Inc.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,CGEAF,Cogeco Communications Inc.,2020-01-14T05:00:00.000Z,TNS,1.75,1.7,-2.86,0,EQUITY
2020-01-14,WFC,Wells Fargo & Company,2020-01-14T05:00:00.000Z,TNS,1.12,0.6,-46.57,0,EQUITY
2020-01-14,RMCF,"Rocky Mountain Chocolate Factory, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,MVC,"MVC Capital, Inc.",2020-01-14T05:00:00.000Z,TNS,0.17,0.17,1.8,0,EQUITY
2020-01-14,CLSH,"CLS Holdings USA, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,HLKHF,HELLA GmbH & Co. KGaA,2020-01-14T05:00:00.000Z,TNS,0.84,0.76,-9.09,0,EQUITY
2020-01-14,CIIX,"Chineseinvestors.com, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,HUBOF,"Hub Co., Ltd.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,WAFD,"Washington Federal, Inc.",2020-01-14T05:00:00.000Z,TNS,0.59,0.58,-2.36,0,EQUITY
2020-01-14,OGI,OrganiGram Holdings Inc.,2020-01-14T05:00:00.000Z,TNS,-0.03,-0.01,80.0,0,EQUITY
2020-01-14,INFO,IHS Markit Ltd.,2020-01-14T05:00:00.000Z,TNS,0.61,0.65,6.91,0,EQUITY
2020-01-14,OROXF,Orosur Mining Inc.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,SMIT,"Schmitt Industries, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-14,WIT,Wipro Limited,2020-01-14T05:00:00.000Z,TNS,0.06,0.06,0.0,0,EQUITY
2020-01-14,MWSNF,Mawson Resources Limited,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-15,BDRFF,Beiersdorf Aktiengesellschaft,2020-01-15T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-15,CRTSF,Chr. Hansen Holding A/S,2020-01-15T05:00:00.000Z,TNS,0.39,0.39,-0.26,0,EQUITY
2020-01-15,AA,Alcoa Corporation,2020-01-15T05:00:00.000Z,TNS,-0.22,-0.31,-42.86,0,EQUITY
2020-01-15,MTTWF,Metro AG,2020-01-15T05:00:00.000Z,TNS,0.39,-0.09,-123.08,0,EQUITY
2020-01-15,BAC,Bank of America Corporation,2020-01-15T05:00:00.000Z,TNS,0.68,0.74,8.19,0,EQUITY
2020-01-15,BBT,BB&T Corp,2020-01-15T18:30:00.000Z,BMO,1.01,,,0,EQUITY
2020-01-15,CBSH,Commerce Bancshares Inc,2020-01-15T18:30:00.000Z,BMO,,,,0,EQUITY
2020-01-15,EGBN,"Eagle Bancorp, Inc.",2020-01-15T05:00:00.000Z,TNS,1.07,1.06,-1.12,0,EQUITY
2020-01-15,USB-PP,U.S. Bancorp,2020-01-15T05:00:00.000Z,TNS,1.08,0.9,-16.97,0,EQUITY
2020-01-15,BLK,"BlackRock, Inc.",2020-01-15T05:00:00.000Z,TNS,7.69,8.34,8.42,0,EQUITY
2020-01-15,USB,U.S. Bancorp,2020-01-15T05:00:00.000Z,TNS,1.08,0.9,-16.97,0,EQUITY
2020-01-15,FLS,Flowserve Corporation,2020-01-15T05:00:00.000Z,TNS,0.65,0.66,0.81,0,EQUITY
2020-01-15,FRSCF,Frasers Commercial Trust,2020-01-15T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-15,NODAF,Noda Corporation,2020-01-15T05:00:00.000Z,TNS,,44.69,,0,EQUITY
2020-01-15,CRECF,Critical Elements Lithium Corporation,2020-01-15T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-15,HWC,Hancock Whitney Corporation,2020-01-15T05:00:00.000Z,TNS,1.03,1.06,3.11,0,EQUITY
2020-01-15,DSNY,Destiny Media Technologies Inc.,2020-01-15T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-15,PNC,"The PNC Financial Services Group, Inc.",2020-01-15T05:00:00.000Z,TNS,2.93,2.97,1.26,0,EQUITY
2020-01-15,PBCT,People's United Financial Inc,2020-01-15T15:59:00.000Z,TNS,,,,0,EQUITY
2020-01-15,PNC-PQ,"The PNC Financial Services Group, Inc.",2020-01-15T05:00:00.000Z,TNS,2.93,2.97,1.26,0,EQUITY
2020-01-15,GS-PN,"The Goldman Sachs Group, Inc.",2020-01-15T05:00:00.000Z,TNS,5.47,4.69,-14.2,0,EQUITY
2020-01-15,UNH,UnitedHealth Group Incorporated,2020-01-15T05:00:00.000Z,TNS,3.77,3.9,3.34,0,EQUITY
2020-01-15,GS,"The Goldman Sachs Group, Inc.",2020-01-15T05:00:00.000Z,TNS,5.47,4.69,-14.2,0,EQUITY
2020-01-15,VOLT,"Volt Information Sciences, Inc.",2020-01-15T05:00:00.000Z,TNS,-0.03,-0.04,-33.33,0,EQUITY
2020-01-16,HOMB,"Home Bancshares, Inc. (Conway, AR)",2020-01-16T05:00:00.000Z,TNS,0.42,0.44,4.27,0,EQUITY
2020-01-16,OZK,Bank OZK,2020-01-16T05:00:00.000Z,TNS,0.76,0.78,2.23,0,EQUITY
2020-01-16,CBAN,"Colony Bankcorp, Inc.",2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-16,BK-PC,The Bank of New York Mellon Corporation,2020-01-16T05:00:00.000Z,TNS,1.01,1.01,0.4,0,EQUITY
2020-01-16,BMTC,Bryn Mawr Bank Corporation,2020-01-16T05:00:00.000Z,TNS,0.78,0.81,3.58,0,EQUITY
2020-01-16,BEDU,Bright Scholar Education Holdings Limited,2020-01-16T05:00:00.000Z,TNS,1.59,1.76,10.69,0,EQUITY
2020-01-16,BK,The Bank of New York Mellon Corporation,2020-01-16T05:00:00.000Z,TNS,1.01,1.01,0.4,0,EQUITY
2020-01-16,INDB,Independent Bank Corp.,2020-01-16T05:00:00.000Z,TNS,1.39,1.51,8.87,0,EQUITY
2020-01-16,WABC,Westamerica Bancorporation,2020-01-16T05:00:00.000Z,TNS,0.75,0.77,3.22,0,EQUITY
2020-01-16,TSM,Taiwan Semiconductor Manufacturing Company Limited,2020-01-16T05:00:00.000Z,TNS,0.73,0.73,0.69,0,EQUITY
2020-01-16,FEDU,Four Seasons Education (Cayman) Inc.,2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-16,CSX,CSX Corporation,2020-01-16T05:00:00.000Z,TNS,0.96,0.99,2.91,0,EQUITY
2020-01-16,SCHW-PD,The Charles Schwab Corporation,2020-01-16T05:00:00.000Z,TNS,0.64,0.62,-2.97,0,EQUITY
2020-01-16,HGYMF,"Hogy Medical Co.,Ltd.",2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-16,PRGS,Progress Software Corporation,2020-01-16T05:00:00.000Z,TNS,0.75,0.79,4.91,0,EQUITY
2020-01-16,SCHW,The Charles Schwab Corporation,2020-01-16T05:00:00.000Z,TNS,0.64,0.62,-2.97,0,EQUITY
2020-01-16,CZNC,Citizens & Northern Corporation,2020-01-16T05:00:00.000Z,TNS,,0.42,,0,EQUITY
2020-01-16,GRUPF,Fnac Darty SA,2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-16,PBCT,"People's United Financial, Inc.",2020-01-16T05:00:00.000Z,TNS,0.33,0.37,12.8,0,EQUITY
2020-01-16,HIFS,Hingham Institution for Savings,2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-16,PBCTP,"People's United Financial, Inc.",2020-01-16T05:00:00.000Z,TNS,0.33,0.37,12.8,0,EQUITY
2020-01-16,WNS,WNS (Holdings) Limited,2020-01-16T05:00:00.000Z,TNS,0.74,0.8,7.82,0,EQUITY
2020-01-16,PPG,"PPG Industries, Inc.",2020-01-16T05:00:00.000Z,TNS,1.34,1.31,-2.09,0,EQUITY
2020-01-16,IIIN,"Insteel Industries, Inc.",2020-01-16T05:00:00.000Z,TNS,-0.11,0.03,127.27,0,EQUITY
2020-01-16,SYZLF,Sylogist Ltd.,2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-16,MS-PL,Morgan Stanley,2020-01-16T05:00:00.000Z,TNS,1.0,1.3,30.39,0,EQUITY
2020-01-16,MS,Morgan Stanley,2020-01-16T05:00:00.000Z,TNS,1.0,1.3,30.39,0,EQUITY
2020-01-17,DRWKF,Dragerwerk AG & Co. KGaA,2020-01-17T05:00:00.000Z,TNS,,2.04,,0,EQUITY
2020-01-17,BBAGF,BB Biotech AG,2020-01-17T05:00:00.000Z,TNS,,9.11,,0,EQUITY
2020-01-17,CIHHF,"China Merchants Bank Co., Ltd.",2020-01-17T05:00:00.000Z,TNS,0.69,0.57,-16.79,0,EQUITY
2020-01-17,BOCH,Bank of Commerce Holdings,2020-01-17T05:00:00.000Z,TNS,0.25,0.24,-5.14,0,EQUITY
2020-01-17,PBIP,"Prudential Bancorp, Inc.",2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-17,BANF,BancFirst Corporation,2020-01-17T05:00:00.000Z,TNS,1.04,1.09,5.11,0,EQUITY
2020-01-17,RF,Regions Financial Corporation,2020-01-17T05:00:00.000Z,TNS,0.39,0.39,0.52,0,EQUITY
2020-01-17,KSU-P,Kansas City Southern,2020-01-17T05:00:00.000Z,TNS,1.84,1.82,-1.25,0,EQUITY
2020-01-17,FHN-PA,First Horizon National Corporation,2020-01-17T05:00:00.000Z,TNS,0.42,0.47,12.71,0,EQUITY
2020-01-17,FAST,Fastenal Company,2020-01-17T05:00:00.000Z,TNS,0.31,0.31,-1.27,0,EQUITY
2020-01-17,FHN,First Horizon National Corporation,2020-01-17T05:00:00.000Z,TNS,0.42,0.47,12.71,0,EQUITY
2020-01-17,STT-PG,State Street Corporation,2020-01-17T05:00:00.000Z,TNS,1.7,1.98,16.81,0,EQUITY
2020-01-17,CFG,"Citizens Financial Group, Inc.",2020-01-17T05:00:00.000Z,TNS,0.95,0.98,3.05,0,EQUITY
2020-01-17,RF-PC,Regions Financial Corporation,2020-01-17T05:00:00.000Z,TNS,0.39,0.39,0.52,0,EQUITY
2020-01-17,STT,State Street Corporation,2020-01-17T05:00:00.000Z,TNS,1.7,1.98,16.81,0,EQUITY
2020-01-17,CFG-PE,"Citizens Financial Group, Inc.",2020-01-17T05:00:00.000Z,TNS,0.95,0.98,3.05,0,EQUITY
2020-01-17,KSU,Kansas City Southern,2020-01-17T05:00:00.000Z,TNS,1.84,1.82,-1.25,0,EQUITY
2020-01-17,VEL,"Velocity Financial, Inc.",2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-17,DNK,Phoenix Tree Holdings Limited,2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-17,JBHT,"J.B. Hunt Transport Services, Inc.",2020-01-17T05:00:00.000Z,TNS,1.5,1.35,-10.06,0,EQUITY
2020-01-17,IMAB,I-Mab,2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-17,LIZI,Lizhi Inc.,2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-17,SLB,Schlumberger Limited,2020-01-17T05:00:00.000Z,TNS,0.37,0.39,6.27,0,EQUITY
2020-01-17,TIEMF,Tiemco Ltd.,2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-18,HDB,HDFC Bank Limited,2020-01-18T05:00:00.000Z,TNS,0.55,0.59,7.52,0,EQUITY
2020-01-20,HBGRY,Heidelberger Druckmaschinen Aktiengesellschaft,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-20,CLLKF,Cellink AB (publ),2020-01-20T05:00:00.000Z,TNS,-1.35,-0.53,60.74,0,EQUITY
2020-01-20,AFHFF,AFH Financial Group Plc,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
2020-01-20,HBGRF,Heidelberger Druckmaschinen Aktiengesellschaft,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
