,Company,ESP,Estimate_eps,Estimate_sales,Reported_eps,Reported_sales,cap,symbol,timing,before,after,close,spy_before,spy_after,cons,beta,r2,dev,macd_before,macd_after
2020-07-28,Westinghouse Ai...,+0.10,0.77,1808.77,0.87,1737.4,11773.0,WAB,bmo,62.01,63.36,,322.96,320.95,0.0015526441350046023,1.2049726223428836,0.5422671858447874,-0.24580861503553716,0.4281109025116333,0.3687460768440043
2020-07-28,Waters Corporat...,+0.57,1.53,519.41,2.1,519.98,13809.0,WAT,bmo,227.45,225.55,,322.96,320.95,0.0001700259720161596,0.9029511278670025,0.5835150876285164,-0.5201332120035911,2.0468973623042803,2.6468687691771384
2020-07-28,Nissan Motor Co...,+0.78,-1.8,9378.25,-1.02,10917.66,16514.0,NSANY,bmo,8.11,8.11,,322.96,320.95,0.0025263646092675385,0.7988028147065751,0.3725065856263601,-0.915750834000049,0.05428572762798062,0.051962814427948076
2020-07-28,Transunion,+0.17,0.49,597.45,0.66,634.4,16959.0,TRU,bmo,89.39,89.22,,322.96,320.95,0.00012733830529871508,1.1191949667221182,0.6851006068356409,1.1316207661460003,0.3852944196852257,0.4597088779147632
2020-07-28,"Canon, Inc.",-0.10,0.02,6957.41,-0.08,6234.4,20926.0,CAJ,bmo,19.81,18.83,,322.96,320.95,0.001560837663773991,0.6388983374336425,0.47719155431238114,-0.0252018941586856,-0.03476582082640761,0.028015051951108566
2020-07-28,Otis Worldwide...,+0.13,0.43,2966.94,0.56,3029.0,25175.0,OTIS,bmo,58.32,60.12,,322.96,320.95,-0.00020597035248111554,0.6801595721221719,0.18806134433747224,-0.28433647608461093,0.07249066766224366,-0.016282660317648356
2020-07-28,Hoya Corp.,-0.47,1.11,1023.15,0.64,1057.4,36991.0,HOCPY,bmo,100.37,100.37,,322.96,320.95,-0.0006145953208086512,0.5178112610608334,0.23498088796868455,-0.21699680758263437,-0.24052474325114348,-0.31139305255273864
2020-07-28,Tokyo Electron...,+0.25,0.6,2435.19,0.85,2927.22,42648.0,TOELY,bmo,69.15,69.15,,322.96,320.95,-0.0014955778181728985,0.8100160220061668,0.45375681148540714,1.5154417314990094,-0.3903187544343405,-0.38756390886288994
2020-07-28,Shinetsu Chemic...,--,,3324.07,0.39,3341.13,52749.0,SHECY,bmo,31.94,31.94,,322.96,320.95,-0.0004951391441005951,0.7640039791014677,0.5314139961444888,-0.10774821168266933,0.18226052519723324,0.17201808937155127
2020-07-28,The Sherwinwill...,+1.41,5.69,4556.24,7.1,4604.0,56298.0,SHW,bmo,625.52,652.17,,322.96,320.95,-0.0003377948738601526,1.0357603686459318,0.6374047210491852,2.8865351127059276,4.372022065367222,2.967806851680285
2020-07-28,Raytheon Techno...,+0.30,0.1,13982.85,0.4,14061.0,53763.0,RTX,bmo,61.09,61.64,,322.96,320.95,0.004466309343191379,1.3517640289816315,0.25322205917676566,0.27376432881641527,0.17407399530579437,0.22204091815086946
2020-07-28,Iridium Communi...,+0.05,-0.14,135.68,-0.09,140.17,3517.0,IRDM,bmo,27.35,27.94,,322.96,320.95,0.0006837624386710592,1.292996174949598,0.5021153555025522,0.14963336270811892,0.0474696435181996,-0.017686263060087026
2020-07-28,Armstrong World...,-0.16,0.91,219.67,0.75,203.2,3830.0,AWI,bmo,81.58,81.58,,322.96,320.95,0.0013501736298486082,1.1904861973772891,0.6543467012111742,0.29869238220911437,0.5304745789904481,0.5226039308592629
2020-07-28,Ecolab Inc.,-0.18,0.83,2842.07,0.65,2685.7,60750.0,ECL,bmo,212.04,205.49,,322.96,320.95,0.0003720356198847875,1.1150465202678435,0.6744186676769612,-0.6753636098947532,0.4883072848711023,0.9677698953844409
2020-07-28,Sensata Technol...,+0.02,0.16,583.52,0.18,576.51,6352.0,ST,bmo,41.77,40.01,,322.96,320.95,0.0012456033151413077,1.2181627364888505,0.5808296403791198,1.5167612812806173,0.2082284476916667,0.33835282694617397
2020-07-28,Dte Energy Comp...,+0.22,1.31,2903.79,1.53,-999.0,22068.0,DTE,bmo,114.01,111.11,,322.96,320.95,0.0009237768452767597,1.1618119605234436,0.6790838870093525,-0.5861724722469488,0.3250470204300231,0.5936808075063635
2020-07-28,Rockwell Automa...,+0.14,1.13,1389.85,1.27,1394.0,26198.0,ROK,bmo,229.0,229.0,,322.96,320.95,-0.000701856305544433,1.1904319337898654,0.6154664381505707,0.22044744560591475,0.834588481528761,0.9246498313126077
2020-07-28,Franklin Resour...,+0.17,0.53,,0.7,1188.1,10203.0,BEN,bmo,21.02,20.65,,322.96,320.95,0.002558736042232912,1.1281749149551283,0.542313344671034,0.3005182895389585,-0.04756314182911094,-0.036991187046735124
2020-07-28,"D.r. Horton, In...",+0.45,1.27,5027.07,1.72,5390.0,23176.0,DHI,bmo,66.57,68.59,,322.96,320.95,-0.0005891324360773456,1.2373195300222628,0.5284649347272397,0.021901799070153966,0.6368512678661569,0.5097111614626213
2020-07-28,Msci Inc,+0.07,1.7,411.87,1.77,409.62,32239.0,MSCI,bmo,394.0,397.51,,322.96,320.95,-0.0015436934808294913,1.1721412781657867,0.5883451058459789,-0.9643271795238116,1.3289502816855556,1.3201335111942392
2020-07-28,Jetblue Airways...,-0.16,-1.86,220.1,-2.02,215.0,2775.0,JBLU,bmo,10.225,10.07,,322.96,320.95,0.0038610118384503934,1.2423884205201838,0.28049167911345674,-1.4373031864796142,-0.055493511890764596,-0.03877767254235687
