Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
DPZ,Domino's Pizza Inc,343.64,-0.19,-0.06%,348,352.21,340.53,641600,4/9/2020
DRE,Duke Realty Corp,35.56,2.14,6.40%,34.08,35.68,33.66,3348600,4/9/2020
DRI,Darden Restaurants,64.34,0.77,1.21%,67.97,69.17,62.13,4873100,4/9/2020
DT,Dynatrace Inc,24.76,0.28,1.14%,24.7,26.25,24.26,1319600,4/9/2020
DTE,Dte Energy Company,111.25,7.41,7.14%,104.94,113.3,104.94,2435000,4/9/2020
DUK,Duke Energy Corp,90.31,4.81,5.63%,86.5,93,86.32,6538900,4/9/2020
DVA,Davita Healthcare Partners Inc,74.82,-2.14,-2.78%,76.83,78.29,74.4,1313300,4/9/2020
DVN,Devon Energy Corp,9.67,0.26,2.76%,10.1,10.56,8.85,24421199,4/9/2020
DXC,Dxc Technology Company,16.09,0.29,1.84%,16.75,17.72,15.8,5739500,4/9/2020
DXCM,Dexcom,275.27,17.26,6.69%,259.95,276.61,258.6,1166600,4/9/2020
EA,Electronic Arts Inc,105.8,-1,-0.94%,106,109.38,105.06,3717200,4/9/2020
EAF,Graftech International Ltd,8.71,0.16,1.87%,8.56,9.21,8.51,1099100,4/9/2020
EBAY,Ebay Inc,33.83,0.82,2.48%,33.4,34.1,33.37,13558500,4/9/2020
ECL,Ecolab Inc,179.86,9.05,5.30%,173.34,180.34,172.01,2170900,4/9/2020
ED,Consolidated Edison Company of New York,87.94,4.11,4.90%,83.89,89.37,83.86,2111900,4/9/2020
EEFT,Euronet Worldwide,88.29,1.76,2.03%,88.82,91.77,87.33,796500,4/9/2020
EFX,Equifax Inc,124.22,1.54,1.26%,123.39,128,123.2,873400,4/9/2020
EHC,Encompass Health Corp,71.38,1.74,2.50%,70.9,72.41,69.88,512400,4/9/2020
EIX,Edison International,60.27,2.7,4.69%,58.32,61.9,58.16,3753100,4/9/2020
EL,Estee Lauder Companies,164.83,-0.9,-0.54%,167.98,169.24,163.79,2976700,4/9/2020
ELAN,Elanco Animal Health Inc,24.5,1.07,4.57%,24.13,25.3,23.94,4815700,4/9/2020
ELS,Equity Lifestyle Properties,63.17,3.11,5.18%,61.21,64.2,60.82,1343100,4/9/2020
EMN,Eastman Chemical Company,59.71,3.17,5.61%,58.62,61.1,57.48,2011900,4/9/2020
EMR,Emerson Electric Company,51.78,-0.32,-0.61%,53.51,55.14,50.55,3978700,4/9/2020
ENR,Energizer Holdings Inc,35.85,2.12,6.29%,34.63,37.67,34.42,1151200,4/9/2020
ENTG,Entegris Inc,49.73,0.8,1.63%,50.02,50.65,49.16,1242200,4/9/2020
EOG,Eog Resources,44.82,-0.47,-1.04%,47.25,47.58,42.55,11001899,4/9/2020
EPAM,Epam Systems Inc,192.29,4.43,2.36%,190,196.89,188.24,380800,4/9/2020
EPR,Entertainment Properties Trust,25.58,2.86,12.59%,24.33,27.67,23.86,2618000,4/9/2020
EQC,Equity Commonwealth,32.73,0.56,1.74%,32.5,32.96,32.24,2788300,4/9/2020
EQH,Axa Equitable Holdings Inc,16.61,1.05,6.75%,16.28,17.4,16.11,4218700,4/9/2020
EQIX,Equinix Inc,686.94,22.68,3.41%,666.89,692.63,666.21,904300,4/9/2020
EQR,Equity Residential,69.42,4.17,6.39%,66.27,70.61,66.27,3805900,4/9/2020
EQT,Eqt Corp,10.82,-0.02,-0.18%,10.82,11.75,10.55,11886900,4/9/2020
ERIE,Erie Indemnity Company,166.09,-2.64,-1.56%,170.29,173.78,162.76,76800,4/9/2020
ES,Eversource Energy,90.1,6.75,8.10%,84.45,91,84.14,2348600,4/9/2020
ESI,Element Solutions Inc,9.06,0.77,9.29%,8.48,9.16,8.47,4198700,4/9/2020
ESRT,Empire State Realty Trust Inc,9.62,0.58,6.42%,9.32,9.77,9.14,1512800,4/9/2020
ESS,Essex Property Trust,246.96,12.84,5.48%,239.76,254.67,237.96,801800,4/9/2020
ESTC,Elastic N.V.,54,-1.72,-3.09%,56.75,56.87,52.37,1111900,4/9/2020
ETFC,E*Trade Finl Corp,41.76,1.84,4.61%,40.76,42.47,40.76,6810600,4/9/2020
ETN,Eaton Corp,81.44,1.3,1.62%,80.69,84.83,80.5,4472100,4/9/2020
ETR,Entergy Corp,102.91,2.39,2.38%,102.08,107.22,101.63,1497400,4/9/2020
ETRN,Equitrans Midstream Corp,5.57,-0.29,-4.95%,6.12,6.17,5.41,5534400,4/9/2020
ETSY,Etsy Inc,53.68,2.68,5.25%,52.82,54.17,51.64,4105000,4/9/2020
EV,Eaton Vance Corp,34.91,0.36,1.04%,35.47,36.44,34.01,1276700,4/9/2020
EVR,Evercore Partners Inc,55.98,0.2,0.36%,56.38,59.13,54.45,866700,4/9/2020
EVRG,Evergy Inc,63.1,2.24,3.68%,61.36,64.7,61.18,3215300,4/9/2020
EW,Edwards Lifesciences Corp,215.44,8.39,4.05%,209.64,218,207.23,1554400,4/9/2020
EWBC,East West Bancorp,31.11,3.56,12.92%,28.56,31.5,28.26,2153700,4/9/2020
EXAS,Exact Sciences Cor,67.06,0.69,1.04%,68.05,69.53,66.62,1814700,4/9/2020
EXC,Exelon Corp,39.15,1.56,4.15%,37.97,39.83,37.97,9360899,4/9/2020
EXEL,Exelixis Inc,18.02,-0.61,-3.27%,18.75,18.98,17.78,2958700,4/9/2020
EXP,Eagle Materials Inc,65.87,6.62,11.17%,60.78,66.4,59.77,729900,4/9/2020
EXPD,Expeditors Intl,71.48,-0.99,-1.37%,72.62,73.47,71,1523700,4/9/2020
EXPE,Expedia Group Inc,62.42,1.87,3.09%,64.04,66.06,61.27,5275600,4/9/2020
EXR,Extra Space Storage Inc,102.91,4.72,4.81%,98.71,105.02,98.39,1659900,4/9/2020
F,Ford Motor Company,5.37,0.34,6.76%,5.51,5.75,5.24,175833594,4/9/2020
FAF,First American Corp,47.17,1.94,4.29%,46.15,48.55,46.15,1151100,4/9/2020
FANG,Diamondback Energy,34.86,-2.62,-6.99%,40.38,41,33.23,8914100,4/9/2020
FAST,Fastenal Company,33.62,1.13,3.48%,32.74,33.71,32.55,6021500,4/9/2020
FB,Facebook Inc,175.19,0.91,0.52%,175.9,177.08,171.57,23534201,4/9/2020
FBHS,Fortune Brands Home & Security,50.83,3.54,7.49%,48.27,51.82,48.03,2544100,4/9/2020
FCNCA,First Citizens Bancs,353.47,24,7.28%,336.15,361.05,336.15,54600,4/9/2020
FCX,Freeport-Mcmoran Inc,8.19,0.16,1.99%,8.31,8.43,8.01,35040902,4/9/2020
FDS,Factset Research Systems Inc,279.16,8.19,3.02%,274.27,284.98,269.87,362900,4/9/2020
FDX,Fedex Corp,122.29,-3.25,-2.59%,129.61,130,120.16,4750400,4/9/2020
FE,Firstenergy Corp,44.75,1.52,3.52%,43.77,45.31,43.77,5735700,4/9/2020
FEYE,Fireeye Inc,10.66,0.25,2.40%,10.74,10.98,10.53,2863600,4/9/2020
FFIV,F5 Networks Inc,125.39,4.49,3.71%,122.72,127,122,873100,4/9/2020
FHB,First Hawaiian Inc,17.62,1.5,9.31%,16.44,17.63,16.27,1814200,4/9/2020
FHN,First Horizon National Corp,9.5,0.92,10.72%,8.96,9.68,8.93,7026800,4/9/2020
FICO,Fair Isaac and Company Inc,301.11,0.42,0.14%,310,323.23,298.53,285900,4/9/2020
FIS,Fidelity National Information Services,125.12,0.35,0.28%,126.42,128.66,123.88,4682600,4/9/2020
FISV,Fiserv Inc,99.22,0.85,0.86%,100.1,101.82,97.91,3830500,4/9/2020
FITB,Fifth Third Bncp,17.82,1.13,6.77%,17.6,18.35,17.44,10667399,4/9/2020
FIVE,Five Below Inc,82.98,5.88,7.63%,79.29,86.46,79.05,2005000,4/9/2020
FL,Footlocker Inc,25,1.86,8.04%,23.96,26.04,23.86,3372200,4/9/2020
FLIR,Flir Systems Inc,34.5,-0.35,-1.00%,33.07,35.23,33,1644700,4/9/2020
FLO,Flowers Foods,22.17,0.22,1.00%,21.82,22.44,21.75,1219100,4/9/2020
FLR,Fluor Corp,7.86,0.58,7.97%,7.76,8.56,7.67,4418400,4/9/2020
FLS,Flowserve Corp,27.19,-1.55,-5.39%,29.29,29.76,26.76,3009300,4/9/2020
FLT,Fleetcor Technologies,224.99,4.68,2.12%,226.08,232.9,222.55,913900,4/9/2020
FMC,FMC Corp,90,7.13,8.60%,85.6,91.01,83.51,1543500,4/9/2020
FNB,F.N.B. Corp,8.36,0.6,7.73%,8.06,8.46,7.95,2333100,4/9/2020
FND,Floor & Decor Holdings Inc,36.49,2.47,7.26%,35.21,37.42,34.73,3104200,4/9/2020
FNF,Fidelity National Financial,28.86,1.55,5.68%,27.73,30.26,27.73,3975500,4/9/2020
FOX,Fox Corp Cl B,25.64,-0.18,-0.70%,25.92,26.56,25.17,1596200,4/9/2020
FOXA,Fox Corp Cl A,25.99,-0.31,-1.18%,26.54,27.08,25.6,5180200,4/9/2020
FRC,First Republic Bank,99.5,6.1,6.53%,95.3,100.14,95.3,1708600,4/9/2020
FRT,Federal Realty Investment Trust,86,5.73,7.14%,82.88,87.77,82.88,894200,4/9/2020
FSLR,First Solar Inc,40.45,1.55,3.98%,39.1,41.01,39.1,1368700,4/9/2020
FTDR,Frontdoor Inc,36.18,1.81,5.27%,34.89,36.37,34.01,842900,4/9/2020
FTNT,Fortinet Inc,101.93,-7.25,-6.64%,109.79,109.79,100.65,2473500,4/9/2020
FTV,Fortive Corp,61.04,0.4,0.66%,61.35,62.95,60.43,1419600,4/9/2020
FWONA,Liberty Media F1 Series A,23.78,1.46,6.54%,23.04,23.94,22.83,215900,4/9/2020
FWONK,Liberty Media F1 Series K,24.92,1.45,6.18%,24.39,25.21,23.8,4319700,4/9/2020
G,Genpact Ltd,30.22,1.04,3.56%,29.48,31.31,29.48,1158500,4/9/2020
GD,General Dynamics Corp,141.01,3.62,2.63%,140.35,142.46,138.61,2273700,4/9/2020
GDDY,Godaddy Inc,62.54,1.38,2.26%,61.95,63.83,61.46,1144200,4/9/2020
GE,General Electric Company,7.14,-0.16,-2.19%,7.45,7.54,7.09,128361695,4/9/2020
GGG,Graco Inc,47.97,-0.51,-1.05%,49.19,49.29,47.6,848700,4/9/2020
GH,Guardant Health Inc,68.87,4.34,6.73%,67.3,69,65.15,906400,4/9/2020
GHC,Graham Holdings Company,391.75,35.83,10.07%,364.28,393.44,358,26600,4/9/2020
GILD,Gilead Sciences Inc,73.51,-1.48,-1.97%,74.37,74.6,72.95,12821000,4/9/2020
GIS,General Mills,57.4,1.67,3.00%,55.47,57.99,55.37,4270100,4/9/2020
GL,Globe Life Inc,80.4,5.19,6.90%,76.07,81.27,75.94,668400,4/9/2020
GLIBA,Gci Liberty Inc Cl A,59.11,0.41,0.70%,59.97,60.95,57.73,541000,4/9/2020
GLPI,Gaming & Leisure,28.44,2.01,7.60%,27.7,29.88,27.09,2586300,4/9/2020
GLW,Corning Inc,21.18,0.61,2.97%,20.64,21.63,20.62,6053200,4/9/2020
GM,General Motors Company,24.06,0.93,4.02%,24.16,24.99,23.58,22490398,4/9/2020
GNTX,Gentex Corp,23.9,0.18,0.76%,24.1,24.91,23.87,2183400,4/9/2020
GO,Grocery Outlet Holding Corp,33.86,-1.91,-5.34%,35.8,36.23,33.82,1047800,4/9/2020
GOOG,Alphabet Cl C,1211.45,1.17,0.10%,1224.08,1225.57,1196.73,2175400,4/9/2020
GOOGL,Alphabet Cl A,1206.57,-0.43,-0.04%,1218.18,1221.99,1192.42,2701400,4/9/2020
GPC,Genuine Parts Company,71.67,-1.58,-2.16%,74.87,76.21,70.89,1845700,4/9/2020
GPK,Graphic Packaging Holding Company,13.06,0.12,0.93%,13.05,13.41,12.86,3944800,4/9/2020
GPN,Global Payments Inc,151.03,1.74,1.17%,151.94,155.3,148.61,1606600,4/9/2020
GPS,Gap Inc,9.09,1.24,15.80%,8.35,9.39,8.25,18870201,4/9/2020
GRA,W.R. Grace & Company,42.27,2.29,5.73%,40.88,43.52,40.88,531000,4/9/2020
GRMN,Garmin Ltd,78.65,1.29,1.67%,78.77,79.74,77.61,1326900,4/9/2020
GRUB,Grubhub Inc,45.09,1.35,3.09%,44.95,46.98,44.17,3077900,4/9/2020
GS,Goldman Sachs Group,184.26,7.3,4.13%,180.58,187.33,179.77,6449800,4/9/2020
GT,Goodyear Tire Rubber,7.69,0.75,10.81%,7.42,7.83,7.32,7732200,4/9/2020
GTES,Gates Industrial Corp Plc,7.95,0.16,2.05%,7.99,8.09,7.64,342400,4/9/2020
GWRE,Guidewire Software Inc,83.41,0.03,0.04%,84.32,84.71,81.78,1103400,4/9/2020
GWW,W.W. Grainger,279.87,9.47,3.50%,274.94,282.21,273.36,447000,4/9/2020
H,Hyatt Hotels Corp,53.16,1.76,3.42%,54.45,56.67,52.1,1742000,4/9/2020
HAIN,Hain Celestial Group,25.4,-0.1,-0.39%,25.58,25.9,24.95,1289800,4/9/2020
HAL,Halliburton Company,8.21,-0.54,-6.17%,9.62,9.73,7.97,62400000,4/9/2020
HAS,Hasbro Inc,75.67,1.52,2.05%,75.22,78.25,74.26,1508400,4/9/2020
HBAN,Huntington Bcshs,9.02,0.21,2.44%,9.12,9.57,8.84,20653301,4/9/2020
HBI,Hanesbrands Inc,9.57,0.36,3.91%,9.8,10.24,9.37,10998400,4/9/2020
HCA,Hca Holdings Inc,108.06,0,0.00%,108.73,112.18,105.63,3551600,4/9/2020
HD,Home Depot,201.53,6.71,3.44%,199.8,205.99,196.5,7125700,4/9/2020
HDS,HD Supply Hlds Cmm,32.07,0.97,3.12%,31.76,32.99,31.27,1884400,4/9/2020
HE,Hawaiian Electric Industries,45.6,2,4.59%,44.01,46.66,43.61,625200,4/9/2020
HEI,Heico Corp,82,-2.69,-3.18%,87.71,89.33,81.77,1051900,4/9/2020
HEI.A,Heico Cp Cl A,72.76,0.06,0.08%,75.36,76.25,72.3,304800,4/9/2020
HES,Hess Corp,40.38,1.2,3.06%,41.32,43.8,38.55,5153200,4/9/2020
HFC,Hollyfrontier Corp,26.42,-0.21,-0.79%,27.79,28.2,25.27,2622900,4/9/2020
HGV,Hilton Grand Vacations Inc,17.45,-0.11,-0.63%,18.68,19.11,17.18,1614300,4/9/2020
HHC,Howard Hughes Corp,59.35,2.1,3.67%,60.62,62.85,57.57,929100,4/9/2020
HIG,Hartford Financial Services Group,41.88,3.18,8.22%,39.74,42.05,39.72,4670700,4/9/2020
HII,Huntington Ingalls Industries,192.39,-3.05,-1.56%,198,198.89,190.87,436800,4/9/2020
HIW,Highwoods Properties,39.4,1.78,4.73%,38.87,40.12,38.27,1155700,4/9/2020
HLF,Herbalife Ltd,30.21,-0.34,-1.11%,31,32.44,30.1,2568800,4/9/2020
HLT,Hilton Inc,68.45,-1.64,-2.34%,70.22,73.21,68.11,7537400,4/9/2020
HOG,Harley-Davidson Inc,21.13,2.28,12.10%,19.68,21.85,19.37,5212600,4/9/2020
HOLX,Hologic Inc,41.11,1.73,4.39%,40.17,41.67,40.01,3092100,4/9/2020
HON,Honeywell International Inc,143.43,4.18,3.00%,140,146.3,139.7,4365200,4/9/2020
HP,Helmerich & Payne,19.18,0.41,2.18%,20.1,21.33,17.95,3234700,4/9/2020
HPE,Hewlett Packard Enterprise Comp,10.53,0.3,2.93%,10.44,10.8,10.42,12500601,4/9/2020
HPP,Hudson Pacific Properties,27.15,0.9,3.43%,26.95,27.68,26.56,2458900,4/9/2020
HPQ,HP Inc,15.97,0.25,1.59%,16.03,16.49,15.83,14773100,4/9/2020
HRB,H&R Block,14.99,0.43,2.95%,14.99,15.67,14.84,3924100,4/9/2020
HRC,Hill-Rom Holdings Inc,111.13,-1.4,-1.24%,113.02,114.91,110.56,857500,4/9/2020
HRL,Hormel Foods Corp,47.54,0.17,0.36%,46.76,48.52,46.57,2933300,4/9/2020
HSIC,Henry Schein Inc,52.25,-0.12,-0.23%,52.86,54.51,51.44,1665800,4/9/2020
HST,Host Marriott Financial Trust,11.91,0.65,5.77%,11.82,12.3,11.5,11532100,4/9/2020
HSY,Hershey Foods Corp,143.91,1.2,0.84%,142.77,147.35,142.73,952500,4/9/2020
HTA,Healthcare Trust of America,27.35,1.89,7.42%,26.04,27.5,25.76,3174600,4/9/2020
HUBB,Hubbell Inc B,124.44,4.38,3.65%,122.52,126.01,121.69,235800,4/9/2020
HUBS,Hubspot Inc,141.9,2.38,1.71%,142.71,154.09,136.13,1468700,4/9/2020
HUM,Humana Inc,341.9,4.64,1.38%,336.76,345.24,332.48,2190100,4/9/2020
HUN,Huntsman Corp,16.82,1.19,7.61%,15.98,17.24,15.52,2401200,4/9/2020
HXL,Hexcel Corp,35.42,-0.96,-2.64%,37.96,39.32,34.92,2801700,4/9/2020
HZNP,Horizon Therapeutics,31.03,-0.19,-0.61%,31.54,32,30.17,1997400,4/9/2020
IAA,Iaa Inc,32,3.17,11.00%,29.38,34.84,29.1,2492600,4/9/2020
IAC,Iac Interactive,195.01,-2.64,-1.34%,200.05,202.51,192.27,2037200,4/9/2020
IART,Integra Lifesciences,48.86,1.06,2.22%,48.44,49.29,47.62,470900,4/9/2020
IBKR,Interactive Brokers,45.53,0.33,0.73%,46.65,47.35,44.83,460600,4/9/2020
IBM,International Business Machines,121.5,2.21,1.85%,120.48,122.92,120.17,5576800,4/9/2020
ICE,Intercontinental Exchange,87.38,2.04,2.39%,86.2,87.86,85.86,4285600,4/9/2020
ICUI,I C U Medical Inc,207.96,0.52,0.25%,208.25,211.7,202.17,221200,4/9/2020
IDA,Idacorp Inc,97.8,2.17,2.27%,97.35,99.37,94.73,319200,4/9/2020
IDXX,Idexx Laboratories,258.58,3.85,1.51%,256.02,261.06,252.87,633200,4/9/2020
IEX,Idex Corp,151.52,0.52,0.34%,152.66,155.28,150.61,573000,4/9/2020
IFF,International Flavors & Fragrances,127.37,6.12,5.05%,120.82,130.47,120.72,1544000,4/9/2020
IGT,International Game Technology,6.54,0.35,5.65%,6.58,6.94,6.37,3251900,4/9/2020
ILMN,Illumina Inc,287.62,6.63,2.36%,281.56,287.76,279.46,1201200,4/9/2020
INCY,Incyte Corp,86.81,-0.94,-1.07%,87.34,87.99,85.17,1810400,4/9/2020
INFO,IHS Markit Ltd,65.47,1.1,1.71%,64.93,66.18,64.57,2419600,4/9/2020
INGR,Ingredion Inc,82.1,1.93,2.41%,80.76,83.37,80.46,538700,4/9/2020
INTC,Intel Corp,57.14,-1.84,-3.12%,59.36,59.72,56.06,40515398,4/9/2020
INTU,Intuit Inc,252.1,6.17,2.51%,246.81,254.94,245.87,1646800,4/9/2020
INVH,Invitation Homes Inc,24.31,1.26,5.47%,23.64,24.67,23.44,5019300,4/9/2020
IONS,Ionis Pharmaceuticals,53,0.5,0.95%,52.06,53.39,52.06,559100,4/9/2020
IP,International Paper Company,34.17,1.05,3.17%,33.49,34.9,33.36,4155900,4/9/2020
IPG,Interpublic Group of Companies,16.28,0.38,2.39%,16.27,16.67,15.99,5048100,4/9/2020
IPGP,Ipg Photonics Corp,119.05,1.74,1.48%,117.25,121.12,115.51,479900,4/9/2020
IQV,Iqvia Holdings Inc,128.53,0.66,0.52%,128.3,132.18,127.7,1522800,4/9/2020
IR,Ingersoll Rand Inc.,26.5,0.8,3.11%,26.15,27.51,25.87,3299700,4/9/2020
IRM,Iron Mountain Inc,27.11,1.16,4.47%,26.5,28.41,26.25,7548000,4/9/2020
ISRG,Intuitive Surg Inc,503.79,-6.71,-1.31%,511.69,515.2,490.75,1391300,4/9/2020
IT,Gartner Inc,106.89,1.92,1.83%,105.87,108.4,104.8,643400,4/9/2020
ITT,ITT Inc,51.22,0.6,1.19%,51.88,52.87,50.22,1131800,4/9/2020
ITW,Illinois Tool Works Inc,159.28,0.48,0.30%,160.64,164.25,158.26,1752200,4/9/2020
IVZ,Invesco Plc,9.86,0.39,4.12%,9.85,10.36,9.58,8473101,4/9/2020
J,Jacobs Engineering Group Inc,81.31,0.37,0.46%,81.87,83.86,79.65,1779200,4/9/2020
JAZZ,Jazz Pharma Plc,109.69,1.22,1.12%,109.09,111.3,107.81,388700,4/9/2020
JBGS,Jbg Smith Properties,33.02,1.77,5.66%,31.94,33.89,31.94,692900,4/9/2020
JBHT,J B Hunt Transport,99.19,0.36,0.36%,100.22,103.04,97.52,1020200,4/9/2020
JBL,Jabil Circuit,26.41,0.44,1.69%,26.47,27.29,26.01,1541600,4/9/2020
JBLU,Jetblue Airways Cp,9.5,0.47,5.20%,9.75,10.31,9.14,17219600,4/9/2020
JCI,Johnson Controls Intl,30.6,1.29,4.40%,29.63,31.34,29.61,8105400,4/9/2020
JEF,Jefferies Financial Group Inc,14.17,-0.01,-0.07%,14.57,15.14,13.91,2408700,4/9/2020
JHG,Janus Henderson Group Plc,16.27,-0.02,-0.12%,16.72,17.29,15.97,1898100,4/9/2020
JKHY,Jack Henry & Assoc,170.16,0.78,0.46%,170.68,171.97,169.2,427000,4/9/2020
JLL,Jones Lang Lasalle Inc,115.37,4.12,3.70%,114.39,119,112.08,470500,4/9/2020
JNJ,Johnson & Johnson,141.23,-2.03,-1.42%,144.01,145.42,140.28,11127200,4/9/2020
JNPR,Juniper Networks,21.67,-0.58,-2.61%,22.36,22.52,21.47,3933900,4/9/2020
JPM,JP Morgan Chase & Company,102.76,8.46,8.97%,96.92,104.39,96.89,42084602,4/9/2020
JW.A,John Wiley Sons Cl A,37.47,-3.57,-8.70%,41.67,42.31,36.02,548900,4/9/2020
JWN,Nordstrom,21.32,2.32,12.21%,20.8,21.94,20.25,9866000,4/9/2020
K,Kellogg Company,62.74,1.28,2.08%,60.98,64,60.98,2618200,4/9/2020
KAR,Kar Auction Services Inc,13.93,0.45,3.34%,13.81,14.75,13.77,1930000,4/9/2020
KDP,Keurig Dr Pepper Inc,26.86,0.25,0.94%,26.8,27.6,26.46,2353500,4/9/2020
KEX,Kirby Corp,49.53,0.74,1.52%,50.46,52.08,47.87,658600,4/9/2020
KEY,Keycorp,12.01,0.68,6.00%,11.95,12.37,11.71,20270400,4/9/2020
KEYS,Keysight Technologies Inc Comm,92.1,1.1,1.21%,91.06,93.27,90.38,1040000,4/9/2020
KHC,Kraft Heinz Company,28.11,0.79,2.89%,27.35,28.5,27.35,11111900,4/9/2020
KIM,Kimco Realty Corp,10.82,1.19,12.36%,10.18,11.24,10.18,10279000,4/9/2020
KLAC,K L A-Tencor Corp,150.12,-2.25,-1.48%,152.15,157.87,148.49,1303800,4/9/2020
KMB,Kimberly-Clark Corp,131.49,-1.15,-0.87%,132.17,136.33,130.52,2256900,4/9/2020
KMI,Kinder Morgan,15.36,0.53,3.57%,15.2,15.89,14.9,17469799,4/9/2020
KMPR,Kemper Corp,72.99,4.95,7.28%,69,73.28,68.98,387900,4/9/2020
KMX,Carmax Inc,66.5,3.28,5.19%,64.97,70.26,64.5,2834100,4/9/2020
KNX,Knight-Swift Transporation Inc,35.03,1.19,3.52%,34.09,35.17,33.84,2205200,4/9/2020
KO,Coca-Cola Company,49,1.18,2.47%,48.44,49.73,48.35,19167199,4/9/2020
KOS,Kosmos Energy Ltd,0.93,0.0111,1.21%,0.94,1.0377,0.8835,17042100,4/9/2020
KR,Kroger Company,31.06,0.04,0.13%,30.33,31.3,30.01,17331600,4/9/2020
KRC,Kilroy Realty Corp,66.05,2.85,4.51%,64.7,66.89,64.55,1098500,4/9/2020
KSS,Kohl's Corp,19.91,2.39,13.64%,18.88,21.28,18.81,16693600,4/9/2020
KSU,Kansas City Southern,136.6,-3.15,-2.25%,132.17,141.46,132.17,2242100,4/9/2020
L,Loews Corp,39.42,1.45,3.82%,38.43,40.47,38.43,1474500,4/9/2020
LAMR,Lamar Advertis A,50.65,2.5,5.19%,51.24,53.84,49.51,1394100,4/9/2020
LAZ,Lazard Ltd,26.86,0.22,0.83%,26.64,28.09,26.17,526600,4/9/2020
LB,L Brands Inc,14.93,0.35,2.40%,15.65,16.96,14.69,12328700,4/9/2020
LBRDA,Liberty Broadbd A,111.63,0.74,0.67%,112.51,112.82,110.45,68000,4/9/2020
LBRDK,Liberty Broadbd C,115.48,0.25,0.22%,116.88,116.91,113.72,388300,4/9/2020
LDOS,Leidos Holdings Inc,95.46,0.02,0.02%,96.22,98.23,94.75,1083800,4/9/2020
LEA,Lear Corp,91.15,2.06,2.31%,92.55,94,90.43,540400,4/9/2020
LECO,Lincoln Elec Hld,78.1,0.38,0.49%,79.22,80.7,76.7,328600,4/9/2020
LEG,Leggett & Platt Inc,29.88,1.11,3.86%,29.68,30.67,29.11,1669100,4/9/2020
LEN,Lennar Corp,44.8,1.44,3.32%,45.1,47.83,44,5443700,4/9/2020
LEN.B,Lennar Corp Cl B,33.78,1.18,3.62%,33.74,36.1,33.2,172200,4/9/2020
LFUS,Littelfuse Inc,138.05,0.05,0.04%,141.03,145.05,137,157400,4/9/2020
LGF.A,Lions Gate Entertainment Corp Cl A,6.29,0.4,6.79%,6.03,6.58,6.03,1268600,4/9/2020
LGF.B,Lions Gate Entertainment Corp Cl B,5.82,0.3,5.43%,5.59,6.13,5.59,759900,4/9/2020
LH,Laboratory Corp of America Holdings,146.8,5.64,4.00%,144.67,149.66,142,1515800,4/9/2020
LHX,L3Harris Technologies Inc,190.79,5.59,3.02%,186.37,194.24,186.03,1873400,4/9/2020
LII,Lennox International,204.29,8.61,4.40%,200,212.32,197.3,384700,4/9/2020
LIN,Linde Plc,189.48,2.54,1.36%,183.31,190.05,183.25,3206900,4/9/2020
LKQ,LKQ Corp,22.53,0.53,2.41%,22.66,23.5,22.17,2491700,4/9/2020
LLY,Eli Lilly and Company,145.73,-0.49,-0.34%,144.51,146.4,143.55,4415500,4/9/2020
LM,Legg Mason Inc,49.1,-0.15,-0.30%,49.3,49.5,48.91,2364500,4/9/2020
LMT,Lockheed Martin Corp,371,9.59,2.65%,369.74,376.33,363.52,1629300,4/9/2020
LNC,Lincoln National Corp,34.29,1.73,5.31%,34.43,36.93,32.95,3851100,4/9/2020
LNG,Cheniere Energy,38.58,2.07,5.67%,37.76,39.66,36.94,3034200,4/9/2020
LNT,Alliant Energy Corp,53.14,1.91,3.73%,51.51,54.45,51.51,1351200,4/9/2020
LOGM,Logmein Inc,84.7,0.53,0.63%,84.4,84.96,84.02,1025900,4/9/2020
LOPE,Grand Canyon Educati,76.3,0.83,1.10%,77.32,77.32,74.66,485500,4/9/2020
LOW,Lowe's Companies,95.31,0.96,1.02%,96.44,98.39,94.77,6543900,4/9/2020
LPLA,Lpl Financial Hld,57.58,3.13,5.75%,55.73,58.92,54.46,1232600,4/9/2020
LRCX,Lam Research Corp,258.28,-8.47,-3.18%,271.7,277.42,255.76,2620600,4/9/2020
LSI,Life Storage,102.32,3.83,3.89%,100.67,103.76,99.56,509400,4/9/2020
LSTR,Landstar System,104.09,3.9,3.89%,100.45,104.94,100.45,436100,4/9/2020
LSXMA,Liberty Srs XM CS A,32.05,0.28,0.88%,32.26,33.74,31.52,864300,4/9/2020
LSXMK,Liberty Srs XM CS C,32.34,0.38,1.19%,32.34,34.13,31.81,984800,4/9/2020
LULU,Lululemon Athletica,203.51,7.5,3.83%,199.64,206,198.48,1898300,4/9/2020
LUV,Southwest Airlines Company,36.47,2.17,6.33%,36.3,37.31,35.13,10383600,4/9/2020
LVS,Las Vegas Sands,47.86,1.31,2.81%,48.41,49.89,46.15,7266000,4/9/2020
LW,Lamb Weston Holdings Inc,58.4,0.65,1.13%,58.71,62.27,58.01,2046800,4/9/2020
LYB,Lyondellbasell Industries NV,58.93,3.46,6.24%,56.56,59.97,55.66,3735100,4/9/2020
LYFT,Lyft Inc Cl A,30.33,0.69,2.33%,30.28,32.3,29.81,11335801,4/9/2020
LYV,Live Nation Entertainment,38.27,0.51,1.35%,40.84,40.88,37.86,6288200,4/9/2020
