Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ADPT,Adaptive Biotechnologies Corp,25.77,0.74,2.96%,25.58,26,24.58,1092200,4/9/2020
ADS,Alliance Data Systems Corp,38.58,-2.13,-5.23%,44.78,46.3,37.12,2269200,4/9/2020
ADSK,Autodesk Inc,164.9,5.69,3.57%,160.71,170.81,160.17,3705100,4/9/2020
ADT,ADT Inc,5.35,0.65,13.83%,4.78,5.4,4.74,3663900,4/9/2020
AEE,Ameren Corp,79,2.99,3.93%,76.53,81.25,76.53,1659900,4/9/2020
AEP,American Electric Power Company,86.31,3.01,3.61%,83.99,88.29,83.99,4003700,4/9/2020
AES,The Aes Corp,14.72,0.59,4.18%,14.45,14.99,14.4,7452900,4/9/2020
AFG,American Financial Group,80.49,3.86,5.04%,79.5,81.73,78.43,472700,4/9/2020
AFL,Aflac Incorporated,38.08,0.31,0.82%,38.5,39.82,37.53,7065600,4/9/2020
AGCO,Agco Corp,52.1,1.05,2.06%,51.82,52.98,51.09,405200,4/9/2020
AGIO,Agios Pharmaceuticals,39.88,-0.78,-1.92%,40.92,42.33,38.79,539900,4/9/2020
AGN,Allergan Plc,182.2,1.12,0.62%,181.9,182.85,181.21,4269300,4/9/2020
AGNC,American Capital Age,12.21,0.94,8.34%,12.2,12.75,11.64,25458299,4/9/2020
AGO,Assured Guaranty Ltd,32.49,2.04,6.70%,31.59,33.92,31.3,1293700,4/9/2020
AGR,Avangrid Inc,45.92,2.97,6.92%,43.46,46.01,43.46,376400,4/9/2020
AIG,American International Group,26.54,2.41,9.99%,24.95,27.65,24.89,11974600,4/9/2020
AIV,Apartment Investment and Management,39.97,3.43,9.39%,37.41,41.16,37.12,1917800,4/9/2020
AIZ,Assurant Inc,112.39,5.67,5.31%,108.26,114.74,107,353600,4/9/2020
AJG,Arthur J. Gallagher & Company,86.84,1.8,2.12%,85.9,88.35,85.37,1374600,4/9/2020
AKAM,Akamai Technologies,95.39,-1.98,-2.03%,97.04,97.79,94.94,2036600,4/9/2020
AL,Air Lease Corp Cl A,26.04,1.42,5.77%,26.19,27.67,25.14,2295700,4/9/2020
ALB,Albemarle Corp,67.02,5.2,8.41%,62.35,67.24,62.17,1775400,4/9/2020
