,time,price
DENN,2020-07-28 09:30:00,8.65
MRC,2020-07-28 16:00:00,6.29
CAC,2020-07-28 09:30:00,32.01
LBC,2020-07-28 09:30:00,9.31
BPFH,2020-07-28 09:30:00,6.08
ATEN,2020-07-28 16:00:00,7.23
TPB,2020-07-28 16:00:00,30.38
WNC,2020-07-28 09:30:00,11.65
PFC,2020-07-28 09:30:00,16.02
SYX,2020-07-28 09:30:00,19.56
LBRT,2020-07-28 16:00:00,6.71
IMAX,2020-07-28 16:00:00,12.64
PLT,2020-07-28 09:30:00,19.55
LW,2020-07-28 16:03:00,70.5
WDR,2020-07-28 16:00:00,15.23
SSNC,2020-07-28 09:30:00,56.8
CYH,2020-07-28 09:30:00,3.905
BXP,2020-07-28 09:30:00,89.19
PRLB,2020-07-28 16:00:00,137.93
MPWR,2020-07-28 09:30:00,253.54
ROP,2020-07-28 16:03:00,420.7
GSS,2020-07-28 16:00:00,3.67
SPGI,2020-07-28 09:30:00,351.01
AUDC,2020-07-28 09:30:00,41.39
LH,2020-07-28 09:30:00,203.95
CB,2020-07-28 09:30:00,132.4
PII,2020-07-28 09:30:00,103.84
BE,2020-07-28 09:30:00,15.9
MXIM,2020-07-28 09:30:00,68.3
OXSQ,2020-07-28 09:30:00,2.72
MLM,2020-07-28 09:30:00,216.51
RNR,2020-07-28 09:30:00,175.96
BGFV,2020-07-28 09:30:00,4.6201
EDU,2020-07-28 09:30:00,137.45
CHRW,2020-07-28 09:30:00,87.46
EQR,2020-07-28 16:00:00,53.33
ASH,2020-07-28 16:00:00,79.65
OMC,2020-07-28 09:30:00,52.87
UDR,2020-07-28 09:30:00,35.56
WAB,2020-07-28 09:30:00,63.36
PKI,2020-07-28 09:30:00,114.11
WAT,2020-07-28 09:30:00,225.55
NSANY,2020-07-28 15:57:00,8.11
TRU,2020-07-28 09:30:00,89.22
CAJ,2020-07-28 09:30:00,18.83
OTIS,2020-07-28 09:30:00,60.12
CSGP,2020-07-28 09:30:00,717.72
HOCPY,2020-07-28 15:33:00,100.37
TOELY,2020-07-28 15:58:00,69.15
SHECY,2020-07-28 15:57:00,31.94
SHW,2020-07-28 09:30:00,652.17
RTX,2020-07-28 09:30:00,61.64
FTV,2020-07-28 16:02:00,71.9
ACCO,2020-07-28 09:30:00,6.72
ATRC,2020-07-28 09:30:00,45.36
RCKY,2020-07-28 09:30:00,17.88
PEGA,2020-07-28 09:30:00,104.67
IRDM,2020-07-28 09:30:00,27.94
OMCL,2020-07-28 09:30:00,66.94
RXN,2020-07-28 09:30:00,30.62
HLI,2020-07-28 16:00:00,56.03
HIW,2020-07-28 09:30:00,37.2
THG,2020-07-28 09:30:00,98.65
AWI,2020-07-28 16:00:00,81.58
WH,2020-07-28 16:00:00,46.51
EGP,2020-07-28 16:00:00,124.07
HP,2020-07-28 09:30:00,20.38
ECL,2020-07-28 09:30:00,205.49
HRZN,2020-07-28 09:30:00,11.25
ST,2020-07-28 09:30:00,40.01
JNPR,2020-07-28 09:30:00,24.99
EIX,2020-07-28 09:30:00,53.33
STAG,2020-07-28 16:00:00,31.51
DTE,2020-07-28 09:30:00,111.11
UNM,2020-07-28 16:00:00,18.1
PKG,2020-07-28 16:03:00,103.53
AXS,2020-07-28 16:00:00,40.83
TENB,2020-07-28 09:30:00,30.54
OVV,2020-07-28 09:30:00,11.01
ROK,2020-07-28 16:03:00,229.0
CAR,2020-07-28 09:30:00,28.2
BEN,2020-07-28 09:30:00,20.65
CE,2020-07-28 09:30:00,94.59
AFL,2020-07-28 09:30:00,36.33
DHI,2020-07-28 09:30:00,68.59
MTDR,2020-07-28 16:00:00,9.13
MSCI,2020-07-28 09:30:00,397.51
JBLU,2020-07-28 09:30:00,10.07
ABG,2020-07-28 16:00:00,108.77
MDLZ,2020-07-28 09:30:00,55.73
HA,2020-07-28 09:30:00,13.11
BYD,2020-07-28 09:30:00,21.5
MASI,2020-07-28 09:30:00,235.5
HOG,2020-07-28 09:30:00,27.61
YNDX,2020-07-28 09:30:00,55.43
AJRD,2020-07-28 09:30:00,41.44
EHC,2020-07-28 09:30:00,70.49
BRO,2020-07-28 09:30:00,46.2
UCBJF,2020-07-28 10:20:00,128.35
HXL,2020-07-28 09:30:00,41.69
AMG,2020-07-28 09:30:00,70.53
AVY,2020-07-28 09:30:00,116.32
UHS,2020-07-28 09:30:00,111.26
USAK,2020-07-28 09:30:00,8.8
KOP,2020-07-28 09:30:00,25.27
AMKR,2020-07-28 09:30:00,15.43
ARE,2020-07-28 09:30:00,170.67
NDEKY,2020-07-28 15:58:00,30.05
VET,2020-07-28 09:30:00,4.66
FIX,2020-07-28 16:04:00,43.01
ARLP,2020-07-28 09:30:00,3.38
FFIV,2020-07-28 09:30:00,144.61
HAS,2020-07-28 09:30:00,71.68
MMLP,2020-07-28 09:30:00,2.3
CX,2020-07-28 09:30:00,3.15
NOV,2020-07-28 09:30:00,12.52
CINF,2020-07-28 09:30:00,83.0
CR,2020-07-28 16:04:00,61.41
EQT,2020-07-28 09:30:00,13.69
VCRA,2020-07-28 09:30:00,29.55
PFG,2020-07-28 09:30:00,46.09
HSII,2020-07-28 09:30:00,21.0
MEDP,2020-07-28 09:30:00,132.91
RPM,2020-07-28 09:30:00,80.91
CATY,2020-07-28 09:30:00,26.07
ACI,2020-07-28 09:30:00,15.3
QCRH,2020-07-28 09:30:00,29.95
DGICA,2020-07-28 09:30:00,14.2
WSBF,2020-07-28 09:30:00,14.0
HBT,2020-07-28 09:30:00,12.17
RBB,2020-07-28 09:30:00,12.92
HOFT,2020-07-28 09:30:00,21.58
HTBI,2020-07-28 09:30:00,14.25
SONA,2020-07-28 09:30:00,8.56
SMBC,2020-07-28 09:30:00,21.56
HTCMY,2020-07-28 14:42:00,61.13
BCBP,2020-07-28 09:30:00,8.6
NRIM,2020-07-28 09:30:00,22.7
HLAN,2020-07-28 15:59:00,65.25
IVAC,2020-07-28 09:30:00,5.6
FRBA,2020-07-28 09:30:00,6.6
SBFG,2020-07-28 09:30:00,14.18
CBFV,2020-07-28 09:30:00,18.7
MRBK,2020-07-28 09:30:00,14.19
TESS,2020-07-28 09:30:00,7.0
MEDS,2020-07-28 09:30:00,7.8
ZENYF,2020-07-28 13:09:00,0.47
AXR,2020-07-28 16:00:00,4.54
AHC,2020-07-28 15:59:00,1.63
BIOAF,2020-07-28 15:55:00,0.2303
CSBR,2020-07-28 09:30:00,8.76
CRSP,2020-07-28 09:30:00,90.9
AGNC,2020-07-28 09:30:00,13.78
FBMS,2020-07-28 09:30:00,20.81
HBMD,2020-07-28 09:30:00,9.96
ABCB,2020-07-28 09:30:00,23.76
LECO,2020-07-28 09:30:00,93.51
TNET,2020-07-28 09:30:00,68.85
VLRS,2020-07-28 16:00:00,5.11
SSD,2020-07-28 09:30:00,90.24
TFII,2020-07-28 16:00:00,40.45
OMF,2020-07-28 09:30:00,28.93
CBU,2020-07-28 16:00:00,57.95
JBT,2020-07-28 09:30:00,91.03
PCH,2020-07-28 09:30:00,43.07
JJSF,2020-07-28 09:30:00,116.26
BOH,2020-07-28 16:00:00,57.76
FIBK,2020-07-28 09:30:00,29.81
CWBK,2020-07-28 12:43:00,18.4
NBTB,2020-07-28 09:30:00,30.68
GOOD,2020-07-28 09:30:00,18.75
CKH,2020-07-28 16:00:00,27.58
CMRE,2020-07-28 09:30:00,5.06
HSTM,2020-07-28 09:30:00,22.28
FRTA,2020-07-28 09:30:00,14.52
UHT,2020-07-28 16:00:00,67.7
PRK,2020-07-28 16:00:00,67.88
HTLF,2020-07-28 09:30:00,31.26
LKFN,2020-07-28 09:30:00,45.35
PPBI,2020-07-28 09:30:00,20.41
