,ticker,mean,std,sharpe,beta,r2
0,A,0.04940175740758024,0.5534111133370013,0.08926773643863724,0.9198658945249243,0.7813567163609207
1,AA,-0.9330634874301255,1.0264041726178101,-0.9090604971435158,1.3519464410799498,0.49065725395009563
2,AAL,-0.8989975297895441,1.2363553429274496,-0.7271352325464071,1.2033454069531417,0.26791069887818353
3,AAP,-0.33761737482799536,0.7219572123413516,-0.4676418062686589,1.0202252140578993,0.5647617228482626
4,AAPL,0.3675843898960327,0.6375028281041276,0.5766004066039887,1.1265539169678365,0.8831526986441364
5,ABBV,0.23065694585416252,0.5000332349518396,0.4612832302564411,0.7813237329310118,0.6904947149578196
6,ABC,0.8832654497582932,0.6312131527761552,1.3993140761937235,0.9802391528318964,0.6820372249001379
7,ABMD,0.5686038715063393,0.5488709560764636,1.0359518302278807,0.5627678518136996,0.29731315662152924
8,ABT,1.0577672247617387,0.5769966365019722,1.8332294468377255,0.9185823491009922,0.7167796997688194
9,ACC,-0.4423802166250287,0.9735141409311873,-0.4544158097199107,1.4024675195356182,0.5869446701976957
10,ACGL,-0.7355332243588482,0.8032267337324691,-0.9157230374304652,1.3235264968616605,0.7678652947632161
11,ACHC,-0.21229382493450544,1.2321377161069649,-0.17229715652667812,1.5090770449218918,0.4242290364220044
12,ACM,-0.11864755400415539,0.7980063142666534,-0.1486799689212852,1.2066309637945327,0.6465950028743119
13,ACN,-0.08578270816407751,0.6204103351945097,-0.138267696873849,1.070799848270284,0.842470343782685
14,ADBE,0.8727736021691377,0.6859308869973612,1.2723929170031607,1.1271787769403168,0.7636967730912627
15,ADI,0.20199238585091406,0.7675854329865959,0.26315296925969855,1.2148313821457835,0.7083935922234461
16,ADM,-0.2832870517918271,0.5725316914843278,-0.4947971544725951,0.9776382403365403,0.8246190561863392
17,ADP,-0.11157988084559278,0.6749145318912733,-0.16532446046600752,1.19853447330583,0.8918659215253539
18,ADPT,1.029437532135157,0.9338939601431301,1.1023066601452094,1.0133937547758611,0.3330100816957168
19,ADS,-0.8742677784588693,1.359077820654296,-0.6432801456784673,1.5317055047886605,0.3592178954176012
20,ADSK,0.5554802700203125,0.7375828526221441,0.7531089802936067,1.1410095061345935,0.6767884991750828
21,ADT,-0.40930651619879,0.8117082451040986,-0.5042532445217406,0.9301149657918556,0.3713380203332829
22,AEE,0.555360741245458,0.6987737252563357,0.7947647731627736,1.036495484087641,0.6222397670817381
23,AEP,0.11160868216683406,0.5961484275022282,0.18721626530905663,0.8350553246392957,0.5549038802738799
24,AES,-0.5344117932569854,0.8404378863437464,-0.6358730394483981,1.1886989900098166,0.5657552746280615
25,AFG,-0.6507325905283106,1.0273151826057982,-0.6334303255187166,1.496550887931309,0.6001663374127166
26,AFL,-0.42509246921401156,0.8885736890514805,-0.47839866794591007,1.2696245290631492,0.5773773962790527
27,AGCO,-0.5609026822091736,0.8168474342974495,-0.686667618282467,1.1004423890439812,0.5132734398003913
28,AGIO,0.5870579700830736,0.6707759578274897,0.8751923249969155,0.8578216048656937,0.46252482970551523
29,AGN,0.30166587922709365,0.31377891877329683,0.9613962608018457,0.506198035457381,0.7360197265372799
30,AGNC,-0.453218803355937,0.7916436615077456,-0.5725035459675725,0.8584315019412896,0.33254305596188205
31,AGO,-0.589449219560455,1.05077742871077,-0.5609648660646125,1.4661407157888502,0.5505869410562019
32,AGR,0.15319600194946537,0.6884423010480886,0.2225255503856153,0.8984606943149932,0.4816805807143225
33,AIG,-0.8300560538588729,0.9792658719396521,-0.8476309423657988,1.5089475011470679,0.6714954738680348
34,AIV,-0.3824806669541593,0.8758047998964309,-0.43671908055241293,1.2152165896544826,0.5444886175253443
35,AIZ,-0.17955009312753367,0.7027901642061669,-0.25548179566562884,1.0331336931839643,0.6111640060465933
36,AJG,-0.2283827201682288,0.6366633814925746,-0.3587181653714953,0.9982489697169392,0.6952709213702974
37,AKAM,1.601153853259789,0.5270225259094873,3.038112745743959,0.6181547735909223,0.38907396100117897
38,AL,-0.679103761895671,1.6084135256566248,-0.42221962888457504,1.6295074281116038,0.2902774664592601
39,ALB,0.09650412727010815,0.8027043489967476,0.1202237503642816,1.119625607564845,0.5502125369202122
40,ALGN,-0.4342798500418792,0.8822248810254978,-0.4922552734367143,1.375640604673488,0.6876183169622925
41,ALK,-0.8737476094035632,0.9731348451861551,-0.8978689990660239,1.3703056248084822,0.5607701674390388
42,ALKS,-0.13224996244087628,0.6662104439748197,-0.19851079135270183,0.7773145561517693,0.3850053774944455
43,ALL,0.19561635488102147,0.6583157635134904,0.2971466972581659,1.1003053881503448,0.7900490193611608
44,ALLE,-0.2834386655731742,0.6397127026539927,-0.4430718108258048,1.0712819706951435,0.7931105206333187
45,ALLY,-0.7984733294629964,1.0445336991206287,-0.7644304153472642,1.4534329430789354,0.5475719026746221
46,ALNY,2.3073636128391644,0.5480014593181091,4.2105063291442155,0.661104144048303,0.4115971860076708
47,ALSN,-0.5263464486303138,0.5865425115715757,-0.8973713554368409,0.7529155675971926,0.4660039873655466
48,ALXN,0.5375189109264473,0.48715631566118023,1.103380770496455,0.7144675750236253,0.6083092788807609
49,AMAT,0.10705042836798584,0.8785896960031783,0.12184348263469572,1.4967490025102268,0.8207706376238926
